KIC,KeplerMorph,KeplerClass,TIC,TessMorph,TessClass,DR3
9472174,0.78,OverContact,271164763,,,2080063931448749824
6387887,0.58,SemiDetached,170251720,,,2073906430127699712
12055255,0.9,Ellipsoidal,298786644,,,2132960065768816000
10965091,0.76,OverContact,405686839,,,2131900651955196416
11413213,0.87,Ellipsoidal,351191274,,,2086842734172524416
6050116,0.79,OverContact,138636448,,,2077400678073089280
7546791,0.94,Ellipsoidal,272707302,,,2078718167879352832
7871200,0.75,OverContact,123498672,,,2105310097109396736
7959612,0.81,Ellipsoidal,63002660,,,2126128868747313408
9345163,0.77,OverContact,240179566,,,2128045145717218304
11494583,0.94,Ellipsoidal,267570596,,,2132201230946203392
12104285,0.87,Ellipsoidal,399955499,,,2132988137675373312
5685072,0.73,OverContact,120043351,,,2103684297369137664
9700154,0.8,OverContact,158324789,,,2130523410563338368
9662581,0.79,OverContact,272837753,,,2080314899279852928
9777987,0.76,OverContact,271254272,,,2080099463720600576
9392331,0.77,OverContact,158112326,,,2106528733950556800
6106771,0.77,OverContact,120576549,,,2103864514198371072
10557008,0.8,OverContact,268705117,,,2085708209974595840
5785551,0.74,OverContact,122296104,,,2101413565343321216
9388303,0.78,OverContact,164555574,,,2107405113436553472
2437038,0.87,Ellipsoidal,122364926,,,2051287070750548736
7269843,0.81,Ellipsoidal,158555513,,,2102589939704341760
10802917,0.74,OverContact,27010863,,,2128936128090700800
3832382,0.75,OverContact,399794371,,,2100244647040760320
5956588,0.83,Ellipsoidal,122597942,,,2101782485853154176
3743834,0.76,OverContact,122449912,,,2052905483147568000
9935311,0.82,Ellipsoidal,164457173,,,2107518156976176512
11704155,0.94,Ellipsoidal,399867354,,,2132836228973574656
4563150,0.8,OverContact,137414238,,,2053180631631496320
9772642,0.8,OverContact,63293754,,,2128288756261701504
8624778,0.81,Ellipsoidal,63065713,,,2126574304096553344
3853259,0.98,Ellipsoidal,137551014,,,2052721899067179136
11566174,0.77,OverContact,27396253,,,2134935334110510592
11246163,0.79,OverContact,26748947,,,2129780827898271488
4476900,0.78,OverContact,138804246,,,2076260725037150976
9508052,0.91,Ellipsoidal,123412930,,,2119104432551427456
5786545,0.75,OverContact,122442355,,,2101773930278052864
9272276,0.81,Ellipsoidal,158559512,,,2130257328749754752
9179806,0.84,Ellipsoidal,239234901,,,2085183944784908928
7272739,0.77,OverContact,158921487,,,2102718445127237504
7269797,0.86,Ellipsoidal,158555444,,,2102589767905626240
7199353,0.78,OverContact,159767169,,,2125795166969906944
10350225,0.8,OverContact,271878314,,,2080609293514100992
6929869,0.96,Ellipsoidal,164828441,,,2104245391897614976
9533706,0.78,OverContact,271254961,,,2080087850128630144
11405559,0.75,OverContact,26814392,,,2129040341178106752
8677949,0.93,Ellipsoidal,158319759,,,2106224611607151488
11036301,0.95,Ellipsoidal,27238985,,,2128774328084530688
7367833,0.77,OverContact,275569889,,,2077831480470491904
11444780,0.73,OverContact,377781557,,,2132103271332605184
11341950,0.74,OverContact,399913881,,,2131302723789458688
5699617,0.77,OverContact,122137668,,,2101406830834451456
6467389,0.79,OverContact,274033125,,,2075407332218332928
9882280,0.77,OverContact,158560902,,,2130455550080589312
4758092,0.9,Ellipsoidal,138803238,,,2076453861122485248
9664382,0.75,OverContact,,,,2080257827754076032
10322582,0.88,Ellipsoidal,164525361,,,2107604949674808704
6128248,0.76,OverContact,138099494,,,2077581719531619328
9995981,0.87,Ellipsoidal,164656940,,,2107556468083702912
10847118,0.82,Ellipsoidal,48450203,,,2131567706091373952
3730067,0.62,SemiDetached,120683426,,,2100047490862964864
2302092,0.88,Ellipsoidal,137096796,,,2052532989223545984
5543482,0.8,OverContact,378089783,,,2076573707891951744
7884426,0.95,Ellipsoidal,159099418,,,2102868734622023808
7740566,0.81,Ellipsoidal,158318143,,,2105632425816544768
6471048,0.77,OverContact,171968838,,,2075370945254291200
7130044,0.76,OverContact,271538155,,,2077905147750076800
7941050,0.86,Ellipsoidal,164464072,,,2105138981315182464
5961327,0.76,OverContact,137410442,,,2053604875623668480
8309175,0.93,Ellipsoidal,271430144,,,2079631243566096768
4036687,0.89,Ellipsoidal,120416883,,,2100206198494956928
5881838,0.73,OverContact,,,,2077384013599356416
2996347,0.9,Ellipsoidal,137892105,,,2051880669593057152
7597095,0.76,OverContact,158634748,,,2102931647301801088
9274472,0.9,Ellipsoidal,158934973,,,2127329329285333632
4074708,0.74,OverContact,184166788,,,2073194049673938176
8394040,0.79,OverContact,239290988,,,2076126653336649984
8625469,0.78,OverContact,63075063,,,2126560770658413952
4941060,0.75,OverContact,184420049,,,2076353290170911744
7877062,0.82,Ellipsoidal,158165935,,,2105858439874978304
9470175,0.77,OverContact,270788790,,,2128019032315956736
3745184,0.67,SemiDetached,122684982,,,2052943553738257024
10084115,0.89,Ellipsoidal,271548371,,,2080511436983501824
10395202,0.81,Ellipsoidal,158489733,,,2130868038739781888
11498689,0.77,OverContact,399911165,,,2131309973694258304
11395117,0.74,OverContact,399954055,,,2132754869411814784
11245381,0.75,OverContact,424866830,,,2129695340869742592
10723143,0.79,OverContact,298966146,,,2130941053183778176
5563814,0.91,Ellipsoidal,171582162,,,2073607122453835520
9245929,0.94,Ellipsoidal,184945734,,,2082299208534273536
5307780,0.88,Ellipsoidal,171976930,,,2075039339422572160
11305087,0.79,OverContact,27530635,,,2134766391577834496
7035139,0.8,OverContact,63212877,,,2125756855861211136
4168013,0.85,Ellipsoidal,138571760,,,2052404346367459712
11084647,0.83,Ellipsoidal,26584454,,,2129664588903319808
11442348,0.76,OverContact,48421530,,,2132196901619109888
8029708,0.75,OverContact,63125514,,,2125966587704674944
7821450,0.81,Ellipsoidal,159765548,,,2126044446871093120
5283839,0.93,Ellipsoidal,138641826,,,2076541478456838272
6431545,0.91,Ellipsoidal,121331633,,,2102392852244589952
7533807,0.95,Ellipsoidal,270611897,,,2078204902105695232
9994475,0.77,OverContact,164455531,,,2107523036059226880
9347868,0.83,Ellipsoidal,270788461,,,2128012503965607808
9005043,0.72,OverContact,164779923,,,2107141093208152576
9145707,0.75,OverContact,158559240,,,2130230081477735552
11303416,0.94,Ellipsoidal,27239836,,,2134804737045640064
5983351,0.74,OverContact,169818476,,,2073869111144324608
9713664,0.89,Ellipsoidal,275575929,,,2128089229261993984
7118656,0.93,Ellipsoidal,63120579,,,2125781418774877056
2854432,0.93,Ellipsoidal,351057624,,,2052658952025527296
9991887,0.88,Ellipsoidal,123310697,,,2119204694268327552
6061139,0.76,OverContact,168812049,,,2076837247086134784
4474193,0.89,Ellipsoidal,138644404,,,2052437705368562304
5984000,0.82,Ellipsoidal,169823386,,,2073867637982246784
7627059,0.81,Ellipsoidal,272943583,,,2078733732841171072
7199183,0.97,Ellipsoidal,159767070,,,2125983183456797312
5195137,0.92,Ellipsoidal,138574970,,,2076536083977987328
7685689,0.78,OverContact,,,,2125883608936035200
5791886,0.77,OverContact,137410940,,,2053597728797918720
8555573,0.96,Ellipsoidal,159304394,,,2126989408393735168
2694741,0.93,Ellipsoidal,120891206,,,2099191035723798784
3956545,0.75,OverContact,137483077,,,2052773438675939200
8245326,0.94,Ellipsoidal,271969169,,,2079595406358550912
2141697,0.98,Ellipsoidal,120825332,,,2099075316427354624
7696778,0.79,OverContact,272269218,,,2078785753485813248
8097902,0.75,OverContact,,,,2126158246323785344
7204041,0.92,Ellipsoidal,240184492,,,2077803649082073984
12458133,0.77,OverContact,267745671,,,2133224120358676096
9786165,0.73,OverContact,273372537,,,2080302388031997568
5620981,0.79,OverContact,137411300,,,2053578040667741952
11502581,0.74,OverContact,299158792,,,2132626497131955200
4945857,0.75,OverContact,169182654,,,2073699653219304192
10255110,0.88,Ellipsoidal,123493830,,,2119553926648886400
9110213,0.73,OverContact,274020566,,,2079417182395751168
8211618,0.74,OverContact,,,,2117300340130410240
10447902,0.76,OverContact,123129547,,,2119434973234495360
6615041,0.76,OverContact,271051433,,,2077549352660722560
4244929,0.91,Ellipsoidal,120691726,,,2100269764009806464
6843507,0.78,OverContact,164730504,,,2104242162082462080
9639491,0.73,OverContact,158393612,,,2130339895201394176
7890379,0.92,Ellipsoidal,159765249,,,2126127734875893248
8230815,0.93,Ellipsoidal,159522276,,,2126210885443148160
10020247,0.83,Ellipsoidal,271548253,,,2080506832778874240
3560212,0.74,OverContact,139104054,,,2052139742024579584
10848807,0.75,OverContact,,,,2131521457883437568
7282128,0.94,Ellipsoidal,63007551,,,2125798843462104576
3549994,0.74,OverContact,137766154,,,2052312949464427648
10128961,0.86,Ellipsoidal,158272561,,,2130656726347889408
8842170,0.9,Ellipsoidal,,,,2079174224687507072
10680475,0.78,OverContact,273047423,,,2086430245516799616
9389122,0.75,OverContact,164669850,,,2107221117038430720
7529123,0.84,Ellipsoidal,63211851,,,2125911440323697152
5174346,0.84,Ellipsoidal,121333951,,,2100567113187218048
8431389,0.84,Ellipsoidal,63075474,,,2126550634535471872
8432859,0.91,Ellipsoidal,63365612,,,2126373849381379584
11404758,0.88,Ellipsoidal,26748629,,,2129787665486224512
5468295,0.92,Ellipsoidal,168814524,,,2076737947439930240
8682849,0.88,Ellipsoidal,159047982,,,2127150727365528960
7506446,0.69,SemiDetached,164644088,,,2105035597159891840
12418274,0.95,Ellipsoidal,27778382,,,2135499731472792704
3935319,0.76,OverContact,,,,2100202453283446912
10727655,0.74,OverContact,407002553,,,2129413178697671424
8241252,0.78,OverContact,271160736,,,2078326776097702912
5878836,0.8,OverContact,137755834,,,2053561376195078784
8143757,0.78,OverContact,123317864,,,2117295254889076096
9283826,0.84,Ellipsoidal,240179691,,,2128043359010825856
9532591,0.95,Ellipsoidal,270957109,,,2128105069100162560
6633929,0.9,Ellipsoidal,268166671,,,2075438805739402752
11036692,0.96,Ellipsoidal,27392123,,,2128771441866556544
4991959,0.76,OverContact,120354108,,,2103355783910892032
12305537,0.77,OverContact,406951407,,,2133175393951494272
9451598,0.92,Ellipsoidal,164881765,,,2107269632988767872
4066203,0.93,Ellipsoidal,,,,2052401528868578048
3437800,0.97,Ellipsoidal,394178845,,,2052886138615926528
9947924,0.72,OverContact,159391762,,,2127632313458744576
9290838,0.92,Ellipsoidal,271773068,,,2080008616571607296
6281103,0.98,Ellipsoidal,122444345,,,2101804373006646912
9450883,0.94,Ellipsoidal,164780723,,,2107190743029930624
6118779,0.9,Ellipsoidal,122443006,,,2101794752279671680
10395609,0.87,Ellipsoidal,158561860,,,2130866389472395648
8934111,0.92,Ellipsoidal,164522593,,,2106988501608979200
6223646,0.84,Ellipsoidal,168811267,,,2076844600070467328
10737574,0.9,Ellipsoidal,27183754,,,2128744228953354624
12404615,0.75,OverContact,416280717,,,2133239341722572160
7119876,0.85,Ellipsoidal,63282967,,,2125761734944220800
10799558,0.91,Ellipsoidal,26750156,,,2128887096744835584
6034812,0.93,Ellipsoidal,121945314,,,2101456446297390208
8587792,0.77,OverContact,239290086,,,2076140122354456704
3936357,0.77,OverContact,120499528,,,2100245948411164416
7118621,0.74,OverContact,63120586,,,2125782075909054080
8694926,0.8,OverContact,270857921,,,2078407830721158656
9649493,0.85,Ellipsoidal,63072602,,,2126818434337323392
2159783,0.87,Ellipsoidal,137148541,,,2052528178860163328
7878402,0.74,OverContact,158276557,,,2105682900272215040
10924462,0.67,SemiDetached,27009750,,,2128941763087925248
10854621,0.81,Ellipsoidal,299033130,,,2130969228169452160
6436038,0.96,Ellipsoidal,159102746,,,2102247132595492736
5296877,0.95,Ellipsoidal,169181296,,,2073737478982782208
5425950,0.76,OverContact,258203416,,,2104342698675520128
5033682,0.94,Ellipsoidal,169182190,,,2073707074922868992
4672934,0.95,Ellipsoidal,184419083,,,2076311474368429568
11559864,0.94,Ellipsoidal,424815376,,,2129854323378726272
5790912,0.78,OverContact,351070263,,,2053594498982328704
7259917,0.7,SemiDetached,164463075,,,2104993158584870528
11091082,0.83,Ellipsoidal,27394587,,,2134777489772458112
9071104,0.82,Ellipsoidal,164415717,,,2107003894771936512
4859432,0.77,OverContact,169560786,,,2073643543765069056
6424124,0.91,Ellipsoidal,120253228,,,2104116645957943936
7936219,0.95,Ellipsoidal,351800032,,,2116936882817784192
11875706,0.96,Ellipsoidal,28083863,,,2087263327430224640
8053107,0.82,Ellipsoidal,268484749,,,2079001257767343488
4904304,0.89,Ellipsoidal,120316262,,,2103353035131745664
2444187,0.76,OverContact,137315989,,,2051808892101012736
11042923,0.76,OverContact,28089520,,,2086728758619082240
7542091,0.83,Ellipsoidal,271958272,,,2078006229795399040
10275197,0.79,OverContact,63204706,,,2128464815560103680
8097553,0.74,OverContact,63009560,,,2126161132541762176
8696274,0.95,Ellipsoidal,271044626,,,2079892789892877696
7879399,0.74,OverContact,158389967,,,2105626305482465280
5353374,0.79,OverContact,121864870,,,2101323371029633920
3342425,0.94,Ellipsoidal,137219265,,,2052729217691723776
3557421,0.7,SemiDetached,378083763,,,2052128094072817536
11247386,0.76,OverContact,,,,2129022027437253760
2717141,0.78,OverContact,137548243,,,2051897712023930496
2983113,0.89,Ellipsoidal,122213211,,,2051363349371512320
11805235,0.8,OverContact,399861099,,,2133591941356940928
9717924,0.72,OverContact,271354646,,,2080098123690634112
3732732,0.94,Ellipsoidal,121020683,,,2100372911944124416
9654476,0.71,OverContact,270789500,,,2128123657718886016
10389809,0.77,OverContact,164782205,,,2131427896315652736
10528299,0.81,Ellipsoidal,158984226,,,2130918547555727232
8703528,0.75,OverContact,272720333,,,2079716107819362944
11198068,0.71,OverContact,27458196,,,2134740037657857920
9030509,0.88,Ellipsoidal,271256625,,,2079936564200650112
11403776,0.71,OverContact,424815675,,,2129709943758604416
7173910,0.82,Ellipsoidal,123233353,,,2116743471850051840
11190836,0.93,Ellipsoidal,26584196,,,2129674072191160704
8715667,0.85,Ellipsoidal,239236626,,,2076156030914263552
7217866,0.91,Ellipsoidal,272485319,,,2077205789636861568
7432479,0.71,OverContact,,,,2102597739364995072
8690104,0.77,OverContact,63127268,,,2126586467444292736
7709086,0.79,OverContact,268603824,,,2075970866284007040
3969362,0.8,OverContact,139105595,,,2076168194259767552
10154189,0.87,Ellipsoidal,272282390,,,2080562186315859840
3848042,0.99,Ellipsoidal,122605710,,,2052865866369475712
8982514,0.84,Ellipsoidal,239288474,,,2082174448323876608
6024572,0.86,Ellipsoidal,120319564,,,2104038649351571200
9703626,0.78,OverContact,158841479,,,2127757829583333120
9995660,0.75,OverContact,164556488,,,2107552241835821184
10916675,0.87,Ellipsoidal,267749616,,,2129467226566977408
5374883,0.86,Ellipsoidal,139155425,,,2076601436197983744
7512381,0.75,OverContact,158218818,,,2105645615655449728
9268105,0.76,OverContact,164891316,,,2106511863319278720
6853229,0.96,Ellipsoidal,158794735,,,2102328874413279232
12218858,0.65,SemiDetached,351194096,,,2135432798701726848
10253421,0.68,SemiDetached,123357952,,,2119585400169295104
11410485,0.78,OverContact,27531177,,,2134823291304629120
4937217,0.82,Ellipsoidal,139108796,,,2076294672459697536
10267044,0.82,Ellipsoidal,158840322,,,2130812685200870016
3765708,0.95,Ellipsoidal,184243031,,,2073173571269286656
5951553,0.95,Ellipsoidal,121796548,,,2102203083409901952
10797126,0.77,OverContact,26538822,,,2129276289500825088
8823666,0.79,OverContact,270700622,,,2126452739340953472
8192840,0.95,Ellipsoidal,269120974,,,2076013163123350656
4464999,0.78,OverContact,351064473,,,2053361913609878400
9838047,0.85,Ellipsoidal,271165993,,,2128518244953290880
2858322,0.77,OverContact,137686104,,,2051873179170028032
10877703,0.8,OverContact,28231317,,,2086532225218873472
8496820,0.85,Ellipsoidal,63286594,,,2126390208918891392
10618253,0.9,Ellipsoidal,273874245,,,2086455087605592448
5809868,0.8,OverContact,239227581,,,2076782099704498944
3119295,0.75,OverContact,137349576,,,2052667679399346688
5310387,0.96,Ellipsoidal,172877929,,,2074292874115865216
5022573,0.98,Ellipsoidal,138960108,,,2076484235131656192
10481912,0.96,Ellipsoidal,272079818,,,2080637571583044096
9843451,0.91,Ellipsoidal,272496191,,,2080333006862604672
10389982,0.74,OverContact,164782264,,,2131451703315530752
11924311,0.77,OverContact,351193003,,,2135286426218871296
9786798,0.74,OverContact,273379350,,,2080291465938815104
9087918,0.78,OverContact,159761924,,,2126669828468768768
11230837,0.61,SemiDetached,48421158,,,2131807468344794368
6390205,0.8,OverContact,171092024,,,2075396264075986816
11612091,0.97,Ellipsoidal,26656764,,,2129838689697899264
6370361,0.84,Ellipsoidal,138429773,,,2077613364851257472
9414905,0.92,Ellipsoidal,272074861,,,2080384649547728384
9591358,0.84,Ellipsoidal,,,,2128082288594822400
5041843,0.65,SemiDetached,171501273,,,2073516137862754688
8804824,0.87,Ellipsoidal,164890479,,,2106374046408488320
5374999,0.67,SemiDetached,139155503,,,2076601569333809152
9832227,0.95,Ellipsoidal,63205800,,,2128318232616057856
8872737,0.96,Ellipsoidal,158221271,,,2106419332543810048
3837677,0.94,Ellipsoidal,121275447,,,2099645172686871808
12553806,0.61,SemiDetached,,,,2133457629139518336
5535061,0.77,OverContact,137555821,,,2053526432340112896
