KIC,KeplerMorph,KeplerClass,TIC,TessMorph,TessClass,DR3
3863594,0.79,OverContact,138806620,,,2052160907623680128
10417986,0.99,Ellipsoidal,272599738,,,2086579087597378816
8912468,0.98,Ellipsoidal,239276223,,,2082167091036642304
8758716,1.0,Ellipsoidal,270700726,,,2126448581812562176
10855535,0.99,Ellipsoidal,299157009,,,2132455561730848384
9472174,0.78,OverContact,271164763,,,2080063931448749824
9612468,0.99,Ellipsoidal,239233211,,,2085378253407302272
6613627,0.98,Ellipsoidal,270779991,,,2077716439761967360
5302006,0.97,Ellipsoidal,170646804,,,2073775794399263360
9898401,0.99,Ellipsoidal,271253876,,,2128516247789705344
7375612,0.97,Ellipsoidal,271671189,,,2078007608488503680
5872696,0.99,Ellipsoidal,122597845,,,2101594503726623616
7767774,0.99,Ellipsoidal,272372570,,,2078789911014347648
12350008,0.71,OverContact,399915574,,,2133765767273627520
10684673,1.0,Ellipsoidal,267991311,,,2086474432140746368
6699679,1.0,Ellipsoidal,270864138,,,2077531378213755264
6287172,0.95,Ellipsoidal,137559238,,,2053639235362471424
11825204,0.98,Ellipsoidal,27992293,,,2087264912277262208
4921906,0.96,Ellipsoidal,137091233,,,2053073674069021824
6387887,0.58,SemiDetached,170251720,,,2073906430127699712
8288741,0.64,SemiDetached,158484583,,,2106046284567157376
12055255,0.9,Ellipsoidal,298786644,,,2132960065768816000
11013201,0.98,Ellipsoidal,48031665,,,2119765376479083264
1572353,0.91,Ellipsoidal,137098129,,,2051763983923855616
10453521,0.36,Detached,164557670,,,2131628557186767104
9238207,0.75,OverContact,274130966,,,2079437450337901952
5166136,0.82,Ellipsoidal,120104038,,,2103604234882124672
8555795,0.63,SemiDetached,159304362,,,2126990164308013568
6144827,0.82,Ellipsoidal,169463456,,,2076889576964977280
10030943,1.0,Ellipsoidal,274198768,,,2085562279862646400
10965091,0.76,OverContact,405686839,,,2131900651955196416
11413213,0.87,Ellipsoidal,351191274,,,2086842734172524416
9077796,0.72,OverContact,158320547,,,2106267599939730560
6050116,0.79,OverContact,138636448,,,2077400678073089280
12458797,0.94,Ellipsoidal,406998706,,,2133208898994650240
6350020,0.74,OverContact,120900067,,,2103930106938912128
7198474,0.76,OverContact,159652240,,,2101965795057590528
7546791,0.94,Ellipsoidal,272707302,,,2078718167879352832
7871200,0.75,OverContact,123498672,,,2105310097109396736
7959612,0.81,Ellipsoidal,63002660,,,2126128868747313408
3972629,0.85,Ellipsoidal,184243617,,,2073188964432225152
9345163,0.77,OverContact,240179566,,,2128045145717218304
8816790,0.79,OverContact,159580268,,,2126637427234974336
12216817,1.0,Ellipsoidal,27639466,,,2135398438965072768
11494583,0.94,Ellipsoidal,267570596,,,2132201230946203392
4738426,0.96,Ellipsoidal,121947838,,,2101223521629110016
8122124,1.0,Ellipsoidal,268484469,,,2078991533958742400
9412114,0.86,Ellipsoidal,271353763,,,2080070223582882688
9004380,0.97,Ellipsoidal,164678016,,,2106816393681149440
4857282,0.75,OverContact,169078917,,,2073696767001135232
12602985,0.88,Ellipsoidal,417655338,,,2139222609122496640
12104285,0.87,Ellipsoidal,399955499,,,2132988137675373312
