# 3224767071968129152_reference_time_2369.705928474045_frequency_0.5727255340227747, none
# name, value
id,3224767071968129152_reference_time_2369.705928474045_frequency_0.5727255340227747,target identifier
stage,  9,furthest stage the analysis reached
t_tot,954.500566943083,total time base of observations in days
t_mean,2452369.372642072,time series mean time reference point
period,1.7373502952330107,orbital period in days
p_err,4.860313885028625e-07,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,605.0,number of free parameters after the prewhitening phase
bic_prew,437.7735008671152,BIC after the prewhitening phase
noise_level_prew,3.010713710724109e-08,noise level after the prewhitening phase
t_1,1.5702535140910139,time of primary minimum with respect to the mean time
t_2,2.699530597919259,time of secondary minimum with respect to the mean time
t_1_1,1.4833859124617617,time of primary first contact with respect to the mean time
t_1_2,1.6571176410162007,time of primary last contact with respect to the mean time
t_2_1,2.1783284628478112,time of secondary first contact with respect to the mean time
t_2_2,3.220732732990707,time of secondary last contact with respect to the mean time
t_b_1_1,1.5702535140910139,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,1.5702535140910139,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,2.2651925897729983,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,3.13386860606552,end of (flat) eclipse bottom right of secondary minimum
depth_1,65008.48189696432,depth of primary minimum
depth_2,32536.777539388997,depth of secondary minimum
t_1_err,3.487452282276437e-08,error in time of primary minimum (t_1)
t_2_err,0.00030825043885204545,error in time of secondary minimum (t_2)
t_1_1_err,4.93200231572434e-08,error in time of primary first contact (t_1_1)
t_1_2_err,4.93200231572434e-08,error in time of primary last contact (t_1_2)
t_2_1_err,8.516412718770518e-07,error in time of secondary first contact (t_2_1)
t_2_2_err,0.0006165002894703769,error in time of secondary last contact (t_2_2)
t_b_1_1_err,4.93200231572434e-08,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,4.93200231572434e-08,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,8.516412718770518e-07,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.0006165002894703769,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,1.5722939565496012e-09,error in depth of primary minimum
d_2_err,1.5722939565496012e-09,error in depth of secondary minimum
t_1_ind_err,4.094978011798267e-07,individual error in time of primary minimum (t_1)
t_2_ind_err,0.0036194868547487027,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,5.791173441904721e-07,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,5.791173441904721e-07,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,1e-05,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.007238966802437667,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,1e-05,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,1e-05,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,1.1582346883994476e-06,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,5.791173441904725e-07,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,3.6873561764376923e-08,individual error in depth of primary minimum
d_2_ind_err,3.6873561764376923e-08,individual error in depth of secondary minimum
ecosw_form,0.11233553827371293,e*cos(w) from timing formulae
esinw_form,0.8814740605187001,e*sin(w) from timing formulae
cosi_form,0.35,cosine of inclination from timing formulae
phi_0_form,1.5707963275016867,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,0.0,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,0.0,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.8886032818567405,eccentricity from timing formulae
w_form,1.4440390562822745,argument of periastron (radians) from timing formulae
i_form,1.2132252231493863,inclination (radians) from timing formulae
r_sum_form,0.21038420747343012,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,1.0,radius ratio r2/r1 from timing formulae
sb_rat_form,1.0,surface brightness ratio sb2/sb1 from timing formulae
ecosw_sig,0.006515941002062492,formal uncorrelated error in ecosw
esinw_sig,1.3887167288562992,formal uncorrelated error in esinw
cosi_sig,0.034992854604336196,error estimate for cosi used for formal errors
phi_0_sig,0.0005573990866886665,formal uncorrelated error in phi_0
log_rr_sig,0.0,scaled error formal estimate for log_rr
log_sb_sig,0.0,scaled formal error estimate for log_sb
e_sig,1.3775753676959017,formal uncorrelated error in e
w_sig,0.1977011356613992,formal uncorrelated error in w
i_sig,0.035,error estimate for i used for formal errors
r_sum_sig,2.215802241091095,formal uncorrelated error in r_sum
r_rat_sig,nan,scaled error formal estimate for r_rat
sb_rat_sig,nan,scaled error formal estimate for sb_rat
ecosw_low,0.006515941002062492,lower error estimate in ecosw
ecosw_upp,0.006515941002062492,upper error estimate in ecosw
esinw_low,1.3887167288562992,lower error estimate in esinw
esinw_upp,1.3887167288562992,upper error estimate in esinw
cosi_low,0.034992854604336196,lower error estimate in cosi
cosi_upp,0.034992854604336196,upper error estimate in cosi
phi_0_low,0.0005573990866886665,lower error estimate in phi_0
phi_0_upp,0.0005573990866886665,upper error estimate in phi_0
log_rr_low,0.0,lower error estimate in log_rr
log_rr_upp,0.0,upper error estimate in log_rr
log_sb_low,0.0,lower error estimate in log_sb
log_sb_upp,0.0,upper error estimate in log_sb
e_low,1.3775753676959017,lower error estimate in e
e_upp,1.3775753676959017,upper error estimate in e
w_low,0.1977011356613992,lower error estimate in w
w_upp,0.1977011356613992,upper error estimate in w
i_low,0.035,lower error estimate in i
i_upp,0.035,upper error estimate in i
r_sum_low,2.215802241091095,lower error estimate in r_sum
r_sum_upp,2.215802241091095,upper error estimate in r_sum
r_rat_low,0.0,lower error estimate in r_rat
r_rat_upp,0.0,upper error estimate in r_rat
sb_rat_low,0.0,lower error estimate in sb_rat
sb_rat_upp,0.0,upper error estimate in sb_rat
ecosw_phys,0.11233553827371287,e cos(w) of the physical model
esinw_phys,0.8814740605187001,e sin(w) of the physical model
cosi_phys,0.35000000000000003,cos(i) of the physical model
phi_0_phys,1.5700000000000174,phi_0 of the physical model
log_rr_phys,0.0,log of radius ratio of the physical model
log_sb_phys,0.0,log of surface brightness ratio of the physical model
e_phys,0.8886032818567405,eccentricity of the physical model
w_phys,1.4440390562822745,argument of periastron of the physical model
i_phys,1.2132252231493863,inclination (radians) of the physical model
r_sum_phys,0.21038414893879806,sum of fractional radii of the physical model
r_rat_phys,1.0,radius ratio of the physical model
sb_rat_phys,1.0,surface brightness ratio of the physical model
ecosw_err_l,-1.0,lower HDI error estimate in ecosw
ecosw_err_u,-1.0,upper HDI error estimate in ecosw
esinw_err_l,-1.0,lower HDI error estimate in esinw
esinw_err_u,-1.0,upper HDI error estimate in esinw
cosi_err_l,-1.0,lower HDI error estimate in cosi
cosi_err_u,-1.0,upper HDI error estimate in cosi
phi_0_err_l,-1.0,lower HDI error estimate in phi_0
phi_0_err_u,-1.0,upper HDI error estimate in phi_0
log_rr_err_l,-1.0,lower HDI error estimate in log_rr
log_rr_err_u,-1.0,upper HDI error estimate in log_rr
log_sb_err_l,-1.0,lower HDI error estimate in log_sb
log_sb_err_u,-1.0,upper HDI error estimate in log_sb
e_err_l,-1.0,lower HDI error estimate in e
e_err_u,-1.0,upper HDI error estimate in e
w_err_l,-1.0,lower HDI error estimate in w
w_err_u,-1.0,upper HDI error estimate in w
i_err_l,-1.0,lower HDI error estimate in i
i_err_u,-1.0,upper HDI error estimate in i
r_sum_err_l,-1.0,lower HDI error estimate in r_sum
r_sum_err_u,-1.0,upper HDI error estimate in r_sum
r_rat_err_l,-1.0,lower HDI error estimate in r_rat
r_rat_err_u,-1.0,upper HDI error estimate in r_rat
sb_rat_err_l,-1.0,lower HDI error estimate in sb_rat
sb_rat_err_u,-1.0,upper HDI error estimate in sb_rat
n_param_phys,67.0,number of parameters after physical model optimisation
bic_phys,1705.485199835728,BIC after physical model optimisation
noise_level_phys,11674.886514476795,noise level after physical model optimisation
total_freqs,33,total number of frequencies
passed_sigma,18,number of frequencies that passed the sigma test
passed_snr,31,number of frequencies that passed the S/R test
passed_both,18,number of frequencies that passed both tests
passed_harmonics,0,number of harmonics that passed both tests
std_1,11674.886514476795,Standard deviation of the residuals of the linear+sinusoid+eclipse model
std_2,262756.74820534396,Standard deviation of the residuals of the linear+eclipse model
std_3,262756.74820534396,Standard deviation of the residuals of the linear+harmonic 1 and 2+eclipse model
std_4,36404.60742150829,Standard deviation of the residuals of the linear+non-harmonic sinusoid+eclipse model
ratio_1_1,5.568232446315787,Ratio of the first eclipse depth to std_1
ratio_1_2,2.786903110282363,Ratio of the second eclipse depth to std_1
ratio_2_1,0.2474093713709697,Ratio of the first eclipse depth to std_2
ratio_2_2,0.1238285134886871,Ratio of the second eclipse depth to std_2
ratio_3_1,0.2474093713709697,Ratio of the first eclipse depth to std_3
ratio_3_2,0.1238285134886871,Ratio of the second eclipse depth to std_3
ratio_4_1,1.7857212727023257,Ratio of the first eclipse depth to std_4
ratio_4_2,0.8937543856101541,Ratio of the second eclipse depth to std_4
