	image	clusterid	Morph	BinaryType	KmeansX	KmeansY
0	KIC08687088_morp0.51.png	2	0.51	SemiDetached	0.5526530629577857	19.576337296483707
1	KIC10355671_morp0.95.png	3	0.95	Ellipsoidal	-80.28341428874802	-29.537553064344607
2	KIC07678434_morp0.1.png	2	0.1	Detached	81.02020983148456	35.21049423728823
3	KIC05802486_morp0.36.png	2	0.36	Detached	39.061181944976425	30.012234059301477
4	KIC06531485_morp0.54.png	1	0.54	SemiDetached	-19.282380658334056	53.215806225064334
5	KIC06050116_morp0.79.png	3	0.79	OverContact	-99.90602884115624	-18.890291169394075
6	KIC06388770_morp0.43.png	2	0.43	SemiDetached	0.007705803359220537	-24.316307493450708
7	KIC04169521_morp0.93.png	3	0.93	Ellipsoidal	-73.34444642631523	-10.663021586716614
8	KIC05005618_morp-1.0.png	0	-1.0	Detached	70.51530091103544	-37.72797342650439
9	KIC07336754_morp0.16.png	0	0.16	Detached	63.059261009941515	-51.70400184384088
10	KIC09408183_morp-1.0.png	3	-1.0	Detached	-19.95987504373982	-21.705978070245692
11	KIC09821151_morp0.13.png	2	0.13	Detached	19.543415141300837	5.653083263325894
12	KIC09597095_morp0.31.png	2	0.31	Detached	52.994951431560246	44.7642711728359
13	KIC05621294_morp0.6.png	1	0.6	SemiDetached	-33.57039736235716	95.3602610654844
14	KIC04144236_morp0.03.png	0	0.03	Detached	68.49558631161487	-60.40235821674187
15	KIC09533706_morp0.78.png	3	0.78	OverContact	-106.05476698381791	-27.314112968310372
16	KIC08043961_morp0.63.png	1	0.63	SemiDetached	-43.046418336972614	54.85719240923859
17	KIC08565912_morp0.59.png	1	0.59	SemiDetached	-11.860656241462891	102.34569320811464
18	KIC12157987_morp0.66.png	3	0.66	SemiDetached	-86.98117501263944	41.28671471568176
19	KIC08668810_morp0.01.png	0	0.01	Detached	86.81750578320768	-46.13555560130369
20	KIC09466316_morp0.84.png	3	0.84	Ellipsoidal	-77.7391780617824	1.5805083133418283
21	KIC11805235_morp0.8.png	3	0.8	OverContact	-93.24041846621756	-35.53827290729746
22	KIC06934587_morp0.48.png	1	0.48	SemiDetached	-3.545662641338218	110.35029130686192
23	KIC04679687_morp0.44.png	1	0.44	SemiDetached	16.157527228541614	95.10710155899652
24	KIC04843592_morp0.67.png	1	0.67	SemiDetached	-63.55529496256408	69.53955886173009
25	KIC08504570_morp0.35.png	2	0.35	Detached	44.12023414976683	48.275244581498974
26	KIC06307083_morp0.03.png	2	0.03	Detached	-3.3125625840202164	-27.36186042722397
27	KIC05022908_morp0.8.png	3	0.8	OverContact	-101.46008426405422	-16.263676692318054
28	KIC11826400_morp0.25.png	2	0.25	Detached	68.98498258187632	11.964605148491676
29	KIC07610486_morp0.8.png	3	0.8	OverContact	-100.32444181912243	-25.66918110689044
30	KIC10880490_morp0.75.png	3	0.75	OverContact	-105.28866346294929	-17.96746869389232
