,#,bjd,phase,raw_flux,raw_err,corr_flux,corr_err,dtr_flux,dtr_err,rscl_flux,rscl_err
0,55739.86704731,-0.02791537,1.026174,0.001666,0.943684,0.002584,0.916577,0.001488,0.902318,0.001734,
1,55739.88748144,0.00424188,0.975945,0.001666,0.86625,0.002584,0.87177,0.001488,0.850114,0.001734,
2,55739.90791567,0.03639929,1.041817,0.001666,0.96838,0.002585,0.930673,0.001489,0.918741,0.001735,
3,55739.9283497,0.06855638,1.094693,0.001666,1.049939,0.002585,0.977974,0.001489,0.973851,0.001735,
4,55739.94878383,0.10071362,1.100199,0.001667,1.058392,0.002585,0.982958,0.001489,0.979658,0.001735,
5,55739.96921806,0.13287103,1.109585,0.001667,1.072702,0.002585,0.99141,0.001489,0.989505,0.001735,
6,55739.98965208,0.1650281,1.111745,0.001667,1.076295,0.002585,0.993406,0.001489,0.991831,0.001735,
7,55740.01008621,0.19718535,1.120682,0.001667,1.08984,0.002585,1.001459,0.001489,1.001213,0.001735,
8,55740.03052044,0.22934276,1.125949,0.001667,1.098149,0.002586,1.006233,0.00149,1.006775,0.001736,
9,55740.05095447,0.26149985,1.128966,0.001667,1.102801,0.002586,1.008996,0.00149,1.009994,0.001736,
10,55740.07138859,0.29365708,1.129929,0.001667,1.104467,0.002587,1.009924,0.00149,1.011075,0.001736,
11,55740.09182282,0.32581448,1.130095,0.001667,1.104419,0.002586,1.01014,0.00149,1.011327,0.001736,
12,55740.11225684,0.35797156,1.126168,0.001667,1.09788,0.002587,1.006696,0.00149,1.007315,0.001736,
13,55740.13269097,0.39012881,1.123758,0.001667,1.094159,0.002587,1.004609,0.001491,1.004883,0.001737,
14,55740.1531252,0.42228621,1.124092,0.001667,1.094834,0.002587,1.004974,0.001491,1.005308,0.001737,
15,55740.17355932,0.45444344,1.094343,0.001668,1.048269,0.002587,0.978443,0.001491,0.974397,0.001737,
16,55740.19399345,0.48660069,1.02115,0.001668,0.93406,0.002587,0.913062,0.001491,0.898223,0.001737,
17,55740.21442757,-0.48124208,1.016079,0.001668,0.926353,0.002588,0.908589,0.001491,0.893012,0.001737,
18,55740.2348617,-0.44908483,1.088997,0.001668,1.039418,0.002588,0.973857,0.001491,0.969054,0.001737,
19,55740.25529592,-0.41692744,1.103345,0.001668,1.061923,0.002588,0.986754,0.001492,0.98408,0.001738,
20,55740.27572994,-0.38477036,1.106524,0.001668,1.066335,0.002588,0.989663,0.001492,0.98747,0.001738,
21,55740.29616407,-0.35261312,1.102624,0.001668,1.060458,0.002588,0.98624,0.001492,0.983482,0.001738,
22,55740.31659829,-0.32045573,1.107533,0.001668,1.067756,0.002588,0.990697,0.001492,0.988674,0.001738,
23,55740.33703231,-0.28829865,1.107446,0.001668,1.068272,0.002588,0.990685,0.001492,0.98866,0.001738,
24,55740.35746644,-0.25614141,1.112135,0.001668,1.074671,0.002588,0.994945,0.001492,0.993624,0.001738,
25,55740.37790066,-0.22398402,1.109691,0.001667,1.071145,0.002587,0.992825,0.001492,0.991154,0.001738,
26,55740.39833468,-0.19182694,1.108167,0.001667,1.068096,0.002586,0.991527,0.001491,0.989641,0.001737,
27,55740.4187689,-0.15966955,1.101727,0.001666,1.058309,0.002585,0.98583,0.001491,0.983004,0.001737,
28,55740.43920293,-0.12751246,1.105959,0.001666,1.064431,0.002585,0.989683,0.001491,0.987493,0.001737,
29,55740.45963705,-0.09535523,1.100473,0.001665,1.056409,0.002584,0.984839,0.00149,0.981849,0.001736,
30,55740.48007127,-0.06319784,1.096967,0.001665,1.050575,0.002583,0.981766,0.00149,0.978269,0.001736,
31,55740.50050529,-0.03104077,1.034037,0.001664,0.952525,0.002582,0.925506,0.001489,0.912721,0.001735,
32,55740.52093941,0.00111647,0.977529,0.001664,0.864793,0.002581,0.874987,0.001489,0.853862,0.001735,
33,55740.54137363,0.03327386,1.038667,0.001663,0.959496,0.002581,0.929773,0.001489,0.917693,0.001735,
34,55740.56180765,0.06543093,1.094404,0.001662,1.04639,0.00258,0.979732,0.001488,0.975899,0.001734,
35,55740.58224177,0.09758816,1.102068,0.001662,1.058022,0.002579,0.986658,0.001488,0.983969,0.001734,
36,55740.60267599,0.12974555,1.111931,0.001661,1.073748,0.002578,0.995554,0.001488,0.994333,0.001734,
37,55740.62311001,0.16190263,1.11189,0.001661,1.073039,0.002577,0.995583,0.001487,0.994367,0.001732,
38,55740.64354423,0.19406002,1.118568,0.00166,1.083726,0.002577,1.001629,0.001487,1.001411,0.001732,
39,55740.66397835,0.22621725,1.126092,0.00166,1.095081,0.002576,1.008433,0.001486,1.009338,0.001731,
40,55740.68441247,0.25837448,1.12777,0.001659,1.097305,0.002575,1.010002,0.001486,1.011166,0.001731,
41,55740.70484659,0.29053171,1.130877,0.001659,1.102542,0.002574,1.012852,0.001486,1.014487,0.001731,
42,55740.72528071,0.32268894,1.132376,0.001658,1.104675,0.002573,1.014261,0.001485,1.016128,0.00173,
43,55740.74571482,0.35484616,1.129546,0.001658,1.100255,0.002572,1.011793,0.001485,1.013253,0.00173,
44,55740.76614894,0.38700339,1.128104,0.001657,1.097923,0.002571,1.010568,0.001484,1.011826,0.001729,
45,55740.78658306,0.41916063,1.125431,0.001657,1.093887,0.002571,1.00824,0.001484,1.009113,0.001729,
46,55740.80701718,0.45131786,1.105471,0.001656,1.062423,0.00257,0.990424,0.001484,0.988356,0.001729,
47,55740.82745139,0.48347523,1.026881,0.001656,0.940331,0.002569,0.920074,0.001483,0.906393,0.001728,
48,55740.84788541,-0.48436769,1.017654,0.001656,0.926177,0.00257,0.911866,0.001484,0.89683,0.001729,
49,55740.86831952,-0.45221048,1.08497,0.001657,1.030631,0.002571,0.972249,0.001485,0.967181,0.00173,
50,55740.88875374,-0.42005309,1.102282,0.001658,1.057099,0.002572,0.987827,0.001485,0.985331,0.00173,
51,55740.90918776,-0.38789601,1.105298,0.001658,1.062239,0.002573,0.990595,0.001486,0.988555,0.001731,
52,55740.92962197,-0.35573864,1.105952,0.001659,1.062915,0.002574,0.991247,0.001487,0.989315,0.001732,
53,55740.95005609,-0.32358141,1.10893,0.00166,1.067723,0.002576,0.993981,0.001488,0.9925,0.001734,
54,55740.9704901,-0.29142435,1.109083,0.00166,1.067956,0.002577,0.994184,0.001488,0.992737,0.001734,
55,55740.99092432,-0.25926696,1.109525,0.001661,1.068527,0.002578,0.994646,0.001489,0.993275,0.001735,
56,55741.01135843,-0.22710974,1.109247,0.001662,1.068399,0.002579,0.994462,0.00149,0.993061,0.001736,
57,55741.03179245,-0.19495267,1.108681,0.001662,1.067537,0.00258,0.99402,0.00149,0.992546,0.001736,
58,55741.05222666,-0.1627953,1.105649,0.001663,1.062505,0.002581,0.991367,0.001491,0.989455,0.001737,
59,55741.07266077,-0.13063808,1.104273,0.001664,1.059596,0.002582,0.990198,0.001492,0.988093,0.001738,
60,55741.09309489,-0.09848085,1.101398,0.001664,1.055845,0.002583,0.987685,0.001493,0.985165,0.001739,
61,55741.113529,-0.06632363,1.098055,0.001665,1.04995,0.002584,0.984752,0.001493,0.981748,0.001739,
62,55741.13396301,-0.03416657,1.042546,0.001666,0.964565,0.002585,0.935032,0.001494,0.92382,0.001741,
63,55741.15439723,-0.00200918,0.981335,0.001666,0.86849,0.002586,0.880191,0.001495,0.859925,0.001742,
64,55741.17483134,0.03014803,1.027363,0.001667,0.940592,0.002587,0.921535,0.001495,0.908095,0.001742,
65,55741.19526545,0.06230525,1.094554,0.001668,1.045664,0.002588,0.98187,0.001496,0.97839,0.001743,
66,55741.21569956,0.09446247,1.100365,0.001669,1.05428,0.002589,0.987147,0.001497,0.984538,0.001744,
67,55741.25656779,0.15877692,1.116637,0.00167,1.078795,0.002591,1.001876,0.001498,1.001699,0.001745,
68,55741.2770019,0.19093413,1.120864,0.001671,1.085989,0.002592,1.005735,0.001499,1.006195,0.001746,
69,55741.29743601,0.22309135,1.126409,0.001671,1.094026,0.002594,1.010776,0.0015,1.012068,0.001748,
70,55741.31787012,0.25524856,1.129434,0.001672,1.099211,0.002595,1.013557,0.0015,1.015308,0.001748,
71,55741.33830433,0.28740594,1.133252,0.001671,1.104681,0.002593,1.01705,0.0015,1.019378,0.001748,
72,55741.35873834,0.319563,1.131071,0.00167,1.102128,0.002592,1.015159,0.001499,1.017175,0.001746,
73,55741.37917255,0.35172037,1.132967,0.00167,1.104176,0.002591,1.016927,0.001499,1.019234,0.001746,
74,55741.39960666,0.38387759,1.135458,0.001669,1.108396,0.00259,1.01923,0.001498,1.021918,0.001745,
75,55741.42004067,0.41603465,1.131351,0.001668,1.101772,0.002589,1.01561,0.001498,1.0177,0.001745,
76,55741.44047488,0.44819202,1.108929,0.001667,1.066998,0.002588,0.995547,0.001497,0.994325,0.001744,
77,55741.46090898,0.48034922,1.033286,0.001667,0.949408,0.002587,0.927698,0.001496,0.915275,0.001743,
78,55741.48134299,-0.48749372,1.009578,0.001666,0.912347,0.002586,0.906472,0.001496,0.890545,0.001743,
79,55741.5017772,-0.45533635,1.080062,0.001665,1.0219,0.002584,0.969821,0.001495,0.964352,0.001742,
80,55741.52221131,-0.42317913,1.106475,0.001665,1.063178,0.002583,0.993603,0.001495,0.99206,0.001742,
81,55741.54264532,-0.39102207,1.110065,0.001664,1.069055,0.002582,0.996892,0.001494,0.995892,0.001741,
82,55741.56307952,-0.35886471,1.107076,0.001663,1.06411,0.002581,0.994273,0.001494,0.992841,0.001741,
83,55741.58351363,-0.3267075,1.107875,0.001662,1.065425,0.00258,0.995055,0.001493,0.993752,0.001739,
84,55741.60394784,-0.29455012,1.109199,0.001662,1.067104,0.002579,0.996309,0.001492,0.995213,0.001738,
