# KIC04386047_morp_0.35_T0_55001.200546_P_2.90069.csv, none
# name, value
id,KIC04386047_morp_0.35_T0_55001.200546_P_2.90069.csv,target identifier
stage,  9,furthest stage the analysis reached
t_tot,589.7716156700626,total time base of observations in days
t_mean,2456117.5794544956,time series mean time reference point
period,2.9006141547715187,orbital period in days
p_err,3.925751946052594e-06,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,628.0,number of free parameters after the prewhitening phase
bic_prew,-198492.2603966475,BIC after the prewhitening phase
noise_level_prew,0.0020479636330175627,noise level after the prewhitening phase
t_1,3.2852040695284344,time of primary minimum with respect to the mean time
t_2,4.723973942576386,time of secondary minimum with respect to the mean time
t_1_1,3.2083841274335234,time of primary first contact with respect to the mean time
t_1_2,3.3666824026142996,time of primary last contact with respect to the mean time
t_2_1,4.658663648957257,time of secondary first contact with respect to the mean time
t_2_2,4.815906099529871,time of secondary last contact with respect to the mean time
t_b_1_1,3.2852040695284344,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,3.2852040695284344,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,4.723973942576386,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,4.723973942576386,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.14719598950629853,depth of primary minimum
depth_2,0.008620042107370739,depth of secondary minimum
t_1_err,0.0003721149526981767,error in time of primary minimum (t_1)
t_2_err,0.0008428568783633918,error in time of secondary minimum (t_2)
t_1_1_err,0.0005356737069482235,error in time of primary first contact (t_1_1)
t_1_2_err,0.000516654460709103,error in time of primary last contact (t_1_2)
t_2_1_err,0.0012101340824117515,error in time of secondary first contact (t_2_1)
t_2_2_err,0.0011735443631168759,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.0005356737069482235,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.000516654460709103,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.0012101340824117515,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.0011735443631168759,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,0.00017561143274291208,error in depth of primary minimum
d_2_err,0.00017561143274291208,error in depth of secondary minimum
t_1_ind_err,0.0026672082967695156,individual error in time of primary minimum (t_1)
t_2_ind_err,0.006041345134506088,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.0038395483577690274,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.003703224109040354,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.008673877900924252,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.008411613774819872,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.0004479228647945597,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.0004479228647945597,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.00813670675578335,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.00813670675578335,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.002508232956334746,individual error in depth of primary minimum
d_2_ind_err,0.002508232956334746,individual error in depth of secondary minimum
ecosw_form,-0.0062478539678053275,e*cos(w) from timing formulae
esinw_form,-0.003362419749908448,e*sin(w) from timing formulae
cosi_form,0.23422620568076769,cosine of inclination from timing formulae
phi_0_form,0.1708898636045512,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,0.9897480746303157,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,-1.22108841618161,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.0070951776424269435,eccentricity from timing formulae
w_form,3.635309497490147,argument of periastron (radians) from timing formulae
i_form,1.3343737706696752,inclination (radians) from timing formulae
r_sum_form,0.2866830925665301,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,9.766705099634434,radius ratio r2/r1 from timing formulae
sb_rat_form,0.06010513595155919,surface brightness ratio sb2/sb1 from timing formulae
ecosw_sig,0.0042407024536357555,formal uncorrelated error in ecosw
esinw_sig,0.021702804966302173,formal uncorrelated error in esinw
cosi_sig,0.034992854604336196,error estimate for cosi used for formal errors
phi_0_sig,0.0009978893119722177,formal uncorrelated error in phi_0
log_rr_sig,0.0020476702110856825,scaled error formal estimate for log_rr
log_sb_sig,0.004602110528520033,scaled formal error estimate for log_sb
e_sig,0.010941941655984975,formal uncorrelated error in e
w_sig,2.7083717632854154,formal uncorrelated error in w
i_sig,0.035,error estimate for i used for formal errors
r_sum_sig,0.027005027840703234,formal uncorrelated error in r_sum
r_rat_sig,0.020206142962642233,scaled error formal estimate for r_rat
sb_rat_sig,0.0002265278052884737,scaled error formal estimate for sb_rat
ecosw_low,0.0042407024536357555,lower error estimate in ecosw
ecosw_upp,0.0042407024536357555,upper error estimate in ecosw
esinw_low,0.14886080136464114,lower error estimate in esinw
esinw_upp,0.14886080136464114,upper error estimate in esinw
cosi_low,0.034992854604336196,lower error estimate in cosi
cosi_upp,0.034992854604336196,upper error estimate in cosi
phi_0_low,0.037215200341160284,lower error estimate in phi_0
phi_0_upp,0.037215200341160284,upper error estimate in phi_0
log_rr_low,0.0020476702110856825,lower error estimate in log_rr
log_rr_upp,0.013202040590842956,upper error estimate in log_rr
log_sb_low,0.02967140395564649,lower error estimate in log_sb
log_sb_upp,0.004602110528520033,upper error estimate in log_sb
e_low,0.0705464957701162,lower error estimate in e
e_upp,0.07054672540635534,upper error estimate in e
w_low,18.47503271539134,lower error estimate in w
w_upp,18.47503776022524,upper error estimate in w
i_low,0.035,lower error estimate in i
i_upp,0.035,upper error estimate in i
r_sum_low,0.027005027840703234,lower error estimate in r_sum
r_sum_upp,0.027005027840703234,upper error estimate in r_sum
r_rat_low,0.020206142962642233,lower error estimate in r_rat
r_rat_upp,0.30145505383718074,upper error estimate in r_rat
sb_rat_low,0.004104898868982368,lower error estimate in sb_rat
sb_rat_upp,0.0002265278052884737,upper error estimate in sb_rat
ecosw_phys,-1.0807430648754284e-08,e cos(w) of the physical model
esinw_phys,-0.004351521330477586,e sin(w) of the physical model
cosi_phys,0.23142865066910784,cos(i) of the physical model
phi_0_phys,0.16295505999491822,phi_0 of the physical model
log_rr_phys,1.00098336687967,log of radius ratio of the physical model
log_sb_phys,-1.2787458050702807,log of surface brightness ratio of the physical model
e_phys,0.004351521330491007,eccentricity of the physical model
w_phys,4.712386496786466,argument of periastron of the physical model
i_phys,1.3372503816447199,inclination (radians) of the physical model
r_sum_phys,0.28011908223036797,sum of fractional radii of the physical model
r_rat_phys,10.02266851349356,radius ratio of the physical model
