,#,bjd,phase,raw_flux,raw_err,corr_flux,corr_err,dtr_flux,dtr_err
0,55463.19601855,0.01749718,0.738012,4.8e-05,0.746307,4.9e-05,0.740947,4.8e-05,
1,55463.2164515,0.02429988,0.82475,4.9e-05,0.834004,4.9e-05,0.82803,4.9e-05,
2,55463.23688454,0.03110261,0.90145,4.9e-05,0.911531,4.9e-05,0.905036,4.9e-05,
3,55463.25731739,0.03790527,0.961111,4.9e-05,0.971813,5e-05,0.964935,4.9e-05,
4,55463.27775034,0.04470797,0.992843,5e-05,1.003868,5e-05,0.996794,5e-05,
5,55463.29818338,0.0515107,0.996088,5e-05,1.007084,5.1e-05,1.000052,5e-05,
6,55463.31861623,0.05831337,0.9962,5e-05,1.007194,5.1e-05,1.000166,5e-05,
7,55463.33904917,0.06511607,0.99626,5.1e-05,1.007207,5.1e-05,1.000226,5.1e-05,
8,55463.35948222,0.0719188,0.996201,5.1e-05,1.007151,5.2e-05,1.000168,5.1e-05,
9,55463.37991506,0.07872147,0.996449,5.2e-05,1.007356,5.2e-05,1.000418,5.2e-05,
10,55463.400348,0.08552416,0.996521,5.2e-05,1.00738,5.2e-05,1.000491,5.2e-05,
11,55463.44121399,0.09912959,0.996861,5.3e-05,1.007705,5.3e-05,1.000833,5.3e-05,
12,55463.46164683,0.10593226,0.996913,5.3e-05,1.007759,5.4e-05,1.000886,5.3e-05,
13,55463.48207988,0.11273499,0.997136,5.3e-05,1.007948,5.4e-05,1.001111,5.3e-05,
14,55463.50251282,0.11953769,0.997198,5.4e-05,1.008023,5.4e-05,1.001173,5.4e-05,
15,55463.52294566,0.12634035,0.99732,5.4e-05,1.008136,5.5e-05,1.001297,5.4e-05,
16,55463.5433787,0.13314308,0.997454,5.4e-05,1.008242,5.5e-05,1.001432,5.4e-05,
17,55463.56381155,0.13994575,0.997642,5.5e-05,1.008435,5.5e-05,1.001621,5.5e-05,
18,55463.58424459,0.14674848,0.997649,5.5e-05,1.008417,5.6e-05,1.001629,5.5e-05,
19,55463.60467753,0.15355118,0.997805,5.5e-05,1.008579,5.6e-05,1.001786,5.5e-05,
20,55463.62511037,0.16035384,0.998003,5.6e-05,1.008748,5.6e-05,1.001985,5.6e-05,
21,55463.64554341,0.16715657,0.998198,5.6e-05,1.008944,5.7e-05,1.002181,5.6e-05,
22,55463.66597635,0.17395927,0.998391,5.6e-05,1.009135,5.7e-05,1.002376,5.6e-05,
23,55463.68640919,0.18076193,0.998429,5.6e-05,1.009131,5.7e-05,1.002414,5.6e-05,
24,55463.70684223,0.18756466,0.9986,5.6e-05,1.009315,5.7e-05,1.002587,5.6e-05,
25,55463.72727517,0.19436736,0.998689,5.6e-05,1.009366,5.7e-05,1.002677,5.6e-05,
26,55463.74770801,0.20117003,0.998784,5.6e-05,1.009507,5.7e-05,1.002772,5.6e-05,
27,55463.76814105,0.20797276,0.99902,5.6e-05,1.00972,5.7e-05,1.00301,5.6e-05,
28,55463.78857399,0.21477545,0.999042,5.6e-05,1.00974,5.7e-05,1.003032,5.6e-05,
29,55463.80900683,0.22157812,0.999292,5.6e-05,1.009979,5.7e-05,1.003284,5.6e-05,
30,55463.82943986,0.22838084,0.999373,5.6e-05,1.010029,5.7e-05,1.003366,5.6e-05,
31,55463.8498728,0.23518354,0.999388,5.6e-05,1.01006,5.7e-05,1.003381,5.6e-05,
32,55463.87030574,0.24198624,0.999363,5.6e-05,1.00998,5.7e-05,1.003357,5.6e-05,
33,55463.89073868,0.24878894,0.999388,5.6e-05,1.010041,5.7e-05,1.003382,5.6e-05,
34,55463.91117162,0.25559163,0.999308,5.6e-05,1.009925,5.7e-05,1.003302,5.6e-05,
35,55463.93160465,0.26239436,0.999432,5.6e-05,1.010062,5.7e-05,1.003427,5.6e-05,
36,55463.95203749,0.26919702,0.999353,5.6e-05,1.009973,5.7e-05,1.003348,5.6e-05,
37,55463.97247042,0.27599972,0.999363,5.6e-05,1.009949,5.7e-05,1.003359,5.6e-05,
38,55463.99290346,0.28280245,0.999383,5.6e-05,1.010001,5.7e-05,1.003379,5.6e-05,
39,55464.0133364,0.28960514,0.999355,5.6e-05,1.00993,5.7e-05,1.003352,5.6e-05,
40,55464.03376923,0.29640781,0.999155,5.6e-05,1.009743,5.7e-05,1.003151,5.6e-05,
41,55464.05420227,0.30321054,0.999077,5.6e-05,1.009633,5.7e-05,1.003073,5.6e-05,
42,55464.0746352,0.31001323,0.999004,5.6e-05,1.009534,5.7e-05,1.003,5.6e-05,
43,55464.09506804,0.31681589,0.99877,5.6e-05,1.00932,5.7e-05,1.002766,5.6e-05,
44,55464.11550107,0.32361862,0.99872,5.6e-05,1.009219,5.7e-05,1.002716,5.6e-05,
45,55464.13593401,0.33042132,0.998432,5.6e-05,1.008953,5.7e-05,1.002427,5.6e-05,
46,55464.15636684,0.33722398,0.998277,5.6e-05,1.00877,5.7e-05,1.002272,5.6e-05,
47,55464.17679987,0.34402671,0.998222,5.6e-05,1.008716,5.7e-05,1.002217,5.6e-05,
48,55464.19723271,0.35082937,0.998043,5.6e-05,1.008514,5.6e-05,1.002037,5.6e-05,
49,55464.21766574,0.3576321,0.997774,5.5e-05,1.008238,5.6e-05,1.001768,5.5e-05,
50,55464.23809867,0.36443479,0.997636,5.5e-05,1.008103,5.5e-05,1.001629,5.5e-05,
51,55464.25853151,0.37123745,0.997406,5.5e-05,1.007821,5.5e-05,1.001399,5.5e-05,
52,55464.27896454,0.37804018,0.99725,5.4e-05,1.007693,5.5e-05,1.001242,5.4e-05,
53,55464.29939747,0.38484288,0.997188,5.4e-05,1.007595,5.4e-05,1.00118,5.4e-05,
54,55464.3198303,0.39164554,0.996936,5.3e-05,1.00734,5.4e-05,1.000928,5.3e-05,
55,55464.34026333,0.39844826,0.996785,5.3e-05,1.007169,5.3e-05,1.000776,5.3e-05,
56,55464.36069626,0.40525096,0.996588,5.3e-05,1.006959,5.3e-05,1.000579,5.3e-05,
57,55464.38112919,0.41205365,0.996363,5.2e-05,1.006754,5.3e-05,1.000353,5.2e-05,
58,55464.40156213,0.41885635,0.996224,5.2e-05,1.006564,5.2e-05,1.000214,5.2e-05,
59,55464.42199506,0.42565904,0.996149,5.1e-05,1.00652,5.2e-05,1.000139,5.1e-05,
60,55464.44242799,0.43246174,0.996126,5.1e-05,1.006456,5.1e-05,1.000116,5.1e-05,
61,55464.46286092,0.43926443,0.996074,5e-05,1.006417,5.1e-05,1.000064,5e-05,
62,55464.48329385,0.44606712,0.996143,5e-05,1.006493,5.1e-05,1.000133,5e-05,
63,55464.50372687,0.45286985,0.995926,5e-05,1.006246,5e-05,0.999915,5e-05,
64,55464.5241598,0.45967254,0.994866,4.9e-05,1.005179,5e-05,0.998851,4.9e-05,
65,55464.54459263,0.4664752,0.97048,4.9e-05,0.980469,4.9e-05,0.974368,4.9e-05,
66,55464.56502566,0.47327793,0.916111,4.8e-05,0.925489,4.9e-05,0.919781,4.8e-05,
67,55464.58545859,0.48008062,0.843595,4.8e-05,0.852108,4.8e-05,0.846975,4.8e-05,
68,55464.60589142,0.48688328,0.760221,4.7e-05,0.767764,4.8e-05,0.763267,4.7e-05,
69,55464.62632444,0.49368601,0.673763,4.7e-05,0.680315,4.7e-05,0.676463,4.7e-05,
70,55464.64675737,-0.4995113,0.601809,4.6e-05,0.607525,4.7e-05,0.60422,4.6e-05,
71,55464.6671902,-0.49270864,0.618965,4.7e-05,0.624889,4.7e-05,0.621445,4.7e-05,
72,55464.68762323,-0.48590591,0.699719,4.7e-05,0.706521,4.8e-05,0.702523,4.7e-05,
73,55464.70805615,-0.47910322,0.786079,4.8e-05,0.7939,4.8e-05,0.789229,4.8e-05,
74,55464.72848898,-0.47230056,0.86706,4.8e-05,0.875801,4.9e-05,0.870534,4.8e-05,
75,55464.74892201,-0.46549783,0.934984,4.9e-05,0.944496,4.9e-05,0.938731,4.9e-05,
76,55464.76935493,-0.45869514,0.982009,4.9e-05,0.992047,5e-05,0.985944,4.9e-05,
77,55464.78978796,-0.45189242,0.996147,5e-05,1.006353,5e-05,1.000139,5e-05,
78,55464.81022078,-0.44508976,0.996192,5e-05,1.006403,5.1e-05,1.000184,5e-05,
79,55464.83065371,-0.43828707,0.996458,5e-05,1.006649,5.1e-05,1.000451,5e-05,
80,55464.85108663,-0.43148437,0.996605,5.1e-05,1.0068,5.1e-05,1.000599,5.1e-05,
81,55464.87151956,-0.42468168,0.996727,5.1e-05,1.006908,5.2e-05,1.000721,5.1e-05,
82,55464.89195248,-0.41787899,0.996748,5.2e-05,1.006923,5.2e-05,1.000743,5.2e-05,
83,55464.9123854,-0.4110763,0.996945,5.2e-05,1.007133,5.3e-05,1.00094,5.2e-05,
84,55464.93281833,-0.40427361,0.997097,5.3e-05,1.007265,5.3e-05,1.001093,5.3e-05,
85,55464.95325125,-0.39747092,0.997397,5.3e-05,1.007584,5.3e-05,1.001394,5.3e-05,
86,55464.97368417,-0.39066823,0.99742,5.3e-05,1.007571,5.4e-05,1.001417,5.3e-05,
87,55464.9941171,-0.38386553,0.997631,5.4e-05,1.007801,5.4e-05,1.001629,5.4e-05,
88,55465.01455002,-0.37706284,0.997906,5.4e-05,1.008044,5.5e-05,1.001905,5.4e-05,
89,55465.03498304,-0.37026012,0.998078,5.5e-05,1.008232,5.5e-05,1.002078,5.5e-05,
90,55465.05541586,-0.36345746,0.998225,5.5e-05,1.008379,5.5e-05,1.002225,5.5e-05,
91,55465.07584879,-0.35665477,0.998506,5.5e-05,1.008659,5.6e-05,1.002507,5.5e-05,
92,55465.09628181,-0.34985204,0.998754,5.6e-05,1.008929,5.6e-05,1.002756,5.6e-05,
93,55465.11671463,-0.34304938,0.998984,5.6e-05,1.009118,5.7e-05,1.002987,5.6e-05,
