# KIC04253860_morp_-1.0_T0_54999.512292_P_155.0611116, none
# name, value
id,KIC04253860_morp_-1.0_T0_54999.512292_P_155.0611116,target identifier
stage,  9,furthest stage the analysis reached
t_tot,1470.4622635901906,total time base of observations in days
t_mean,2455681.8531448334,time series mean time reference point
period,155.05025808193898,orbital period in days
p_err,0.0015911399197974106,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,2480.0,number of free parameters after the prewhitening phase
bic_prew,-964972.4339000126,BIC after the prewhitening phase
noise_level_prew,0.00012130698439965094,noise level after the prewhitening phase
t_1,250.55836661361838,time of primary minimum with respect to the mean time
t_2,340.2728614081943,time of secondary minimum with respect to the mean time
t_1_1,248.45092139832343,time of primary first contact with respect to the mean time
t_1_2,252.54394220419124,time of primary last contact with respect to the mean time
t_2_1,339.87314144313905,time of secondary first contact with respect to the mean time
t_2_2,340.56466628570934,time of secondary last contact with respect to the mean time
t_b_1_1,248.60535160980322,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,252.50548970173446,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,340.02074943644106,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,340.52249257333733,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.0005980002331202368,depth of primary minimum
depth_2,0.00020428469341724577,depth of secondary minimum
t_1_err,0.011451027565764885,error in time of primary minimum (t_1)
t_2_err,0.012549532244135811,error in time of secondary minimum (t_2)
t_1_1_err,0.016201319623531746,error in time of primary first contact (t_1_1)
t_1_2_err,0.01618707421691129,error in time of primary last contact (t_1_2)
t_2_1_err,0.018206268681838743,error in time of secondary first contact (t_2_1)
t_2_2_err,0.017277002600888717,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.016201319623531746,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.01618707421691129,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.018206268681838743,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.017277002600888717,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,4.6981993035849103e-05,error in depth of primary minimum
d_2_err,4.6981993035849103e-05,error in depth of secondary minimum
t_1_ind_err,0.019482693774023223,individual error in time of primary minimum (t_1)
