ID,morph,T0,P,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,w,label
TIC 0126446153,0.581,1492.976107,4.2102754,57.31714051479929,-205.86050611091227,-11.257333210803125,315.9005213127145,-167.52152596074654,-240.53037947210584,613.9447771409625,-694.510115758325,502.72506201218033,-243.83348805019716,74.55667166412628,0.8839499362531985,SemiDetached
TIC 0278829112,0.792,2062.138205,0.2457785,39.219912586241016,1720.948416145829,157.49792224601663,-2012.3449283024738,-1973.8967887529125,3140.2082597751396,377.54530307975,-2019.9592470526586,122.46228365408963,1235.9768308246382,-786.6508434056557,0.4258499218236485,OverContact
TIC 0077044472,0.391,1356.104448,2.6857078,-36.87398189144949,19.48550562544841,15.36390052676946,93.91773232890964,-49.367771700396524,-176.01217856281875,162.16135140594514,206.93835269440547,-451.43791911792516,330.50090402949434,-113.67930955910624,0.35703054704498033,Detached
TIC 0103452621,0.191,1819.789813,6.4198319,3.3123455894730474,-8.452830130813085,-0.36830576325250775,12.48748727363624,-5.077437736878578,-12.813862621464882,27.804304542928392,-29.51933445254886,20.245707576543097,-9.269810593000072,2.6506008876465494,0.8461806623742312,Detached
TIC 0023753424,0.94,1738.987683,0.3455705,-184.3897944505682,138.9207148930843,60.110965305638715,563.6869374026571,-855.0783721569252,-245.51008829716721,1455.1735043484514,-1057.1618494133645,-162.40260669573814,614.3097014384739,-326.6576382549658,0.4337520094534155,Ellipsoidal
TIC 0360571125,0.355,1626.208204,2.4624055,2.696843225580137,-5.84531109451721,-0.28322658775436266,8.532707796434492,-4.005610367040673,-7.45813333676096,17.54338310189357,-19.307418222717214,13.683669010211425,-6.495542205110844,1.9372535904549357,0.8749092089469025,Detached
TIC 0159950145,0.728,1411.215975,0.3950963,-2571.0455685937727,2363.804645304082,491.2592492868403,4416.113563645602,-6875.302323554952,-1506.5671250714645,10267.438502899706,-7026.4452900164815,-1993.8893766610906,5086.687716928644,-2651.0102455754645,0.44953260846233656,OverContact
TIC 0041865879,0.573,1354.542523,6.882728,245.56508348388692,55.23895695287583,-180.55723210681913,-776.1213513640582,655.5903957440701,268.8675483435649,-1525.1384569993513,1837.5392374043852,-552.2641656617949,-715.1168324319552,687.2859188887627,0.31101642245566935,SemiDetached
TIC 0393491149,0.595,1598.49221,0.5543533,-282.50196608525664,314.16190558014813,97.2553176123197,224.26123250416057,-186.94967938963083,-702.7378827885672,915.1084629839236,401.2170257685322,-1639.6093892193005,1453.8054775616868,-593.0159752181428,0.4288891247991043,SemiDetached
TIC 0198410480,0.739,1739.384757,1.1233451,3.106371614881373,-4.39796192271463,-0.01582707370003593,4.756530198583772,-4.857438375343608,4.380208832181442,-3.3536388751503923,2.105430552550729,-1.0389680612099257,0.36490881189403745,-0.06417164923430434,1.1760885274555029,OverContact
TIC 0184947995,0.323,1682.508438,3.4792304,1.3195310816298491,-1.9666984920884016,-0.11940098866617858,3.3776865899581026,-0.8789243672891647,-5.13557672865923,10.037162857985269,-10.343420974404772,6.966357211330907,-3.1376985526892645,0.8805171385073164,0.8216270610868561,Detached
TIC 0394728064,0.157,1639.812662,42.6178946,2.3696763885089545,-1.6795360805258899,0.06478455258248744,-0.2982041735660488,1.004895201310474,0.26814852516288523,-2.1805642591945182,3.035672541104492,-2.4540540889039018,1.284788461231114,-0.41603580875132806,0.9696740866420348,Detached
TIC 0158113583,0.529,1683.560381,1.3872088,0.019939239844106928,36.189834296181026,-12.101156110051416,-30.634705973326902,-41.22105336742293,13.881671092280664,45.87353489994813,30.092680554650837,-98.27977551939568,35.63185635382298,21.531205906347562,0.3062497730091506,SemiDetached
TIC 0258918835,0.265,1961.716195,5.9864612,1.1660187820193164,-3.43605867004487,-0.2074043206208423,6.838356187297244,-1.3207872897726858,-12.226747688622314,23.066606797929488,-23.229518358335227,15.154748167138447,-6.503237540510565,1.6981979269528975,0.6774608064443848,Detached
TIC 0399737080,0.578,1790.922234,0.9106007,222.1590549347913,90.83294207151238,82.52883594768791,-257.4610992327872,-562.9531271581013,444.45555725599763,482.96794087110925,-232.37298373954945,-813.2611914392286,1017.0644622521208,-472.96919913006303,0.4196351647887732,SemiDetached
TIC 0177118376,0.878,1544.148752,0.4112904,-182.71641968407826,1111.4977159838336,331.06229224070836,550.9331623465133,-3959.710415176403,1022.3690694153889,5045.143292448713,-4179.550174206167,-1418.3550894950959,3494.588689450573,-1814.2499035257008,0.41632091986678194,Ellipsoidal
TIC 0445067946,0.909,1842.833974,0.4084367,-3.75880788855092,9.122105891036012,-0.044848618046719774,-8.021070344578128,6.444472741617091,-4.698756118462445,3.0757647241954444,-1.7873782548997275,0.9012428260153404,-0.384962936305339,0.13584690714566536,1.1964436390697668,Ellipsoidal
TIC 0289379110,0.531,2010.548571,1.9487604,49.979316986371586,-218.55560408705645,-17.742939844806127,378.3252539793981,-237.5395003819882,-235.01580067637798,706.6707943955348,-848.8516617377765,646.9412552137244,-331.7752408029916,108.32809355050959,0.9273547502226237,SemiDetached
TIC 0259006174,0.322,1682.657713,1.939628,2.3260173186235784,-7.314151761550143,-0.18483611913303946,11.981108637020888,-3.0960981750171324,-16.25051281629782,29.776889374994365,-28.187496075297517,17.099212907547347,-6.786534910667692,1.6363055276619047,0.6832729291825945,Detached
TIC 0262605041,0.211,1521.088454,3.6663285,375.1002177103603,-1127.937624906161,-23.03552494028856,1517.8001602922227,-776.9801905590735,-942.426002318068,2318.2567643275406,-2433.1953518403698,1601.2316672670079,-690.6227639075366,182.80292971031164,0.7918219246858302,Detached
TIC 0150284425,0.377,1491.992257,3.0044462,-0.5890259105843154,-52.80670249797881,66.45378661345008,341.844942486528,-394.58922385357164,-359.02339726573814,872.5955006616472,-120.32223803983214,-878.0549258198466,922.769149774525,-397.2804834167751,0.4383274433497563,Detached
TIC 0193948188,0.272,1742.606138,5.6181129,-3.468425925621183,9.12207124812548,-0.08074416396369163,-9.514559388695776,9.682247041171376,-9.129317198581255,7.62339426526211,-5.423333637352047,3.1580846108874057,-1.4280889939968455,0.45616502513651613,1.0066925973648013,Detached
