	image	clusterid	Morph	BinaryType
0	TIC0431486590_morp0.443.png	0	0.443	SemiDetached
1	TIC0192587088_morp0.494.png	0	0.494	SemiDetached
2	TIC0155540827_morp0.44.png	0	0.44	SemiDetached
3	TIC0146557531_morp0.771.png	2	0.771	OverContact
4	TIC0029478974_morp0.135.png	1	0.135	Detached
5	TIC0044623916_morp0.616.png	3	0.616	SemiDetached
6	TIC1713419350_morp0.572.png	3	0.572	SemiDetached
7	TIC0219095755_morp0.201.png	1	0.201	Detached
8	TIC0394508465_morp0.469.png	0	0.469	SemiDetached
9	TIC0112099606_morp0.166.png	0	0.166	Detached
10	TIC0273782052_morp0.958.png	2	0.958	Ellipsoidal
11	TIC0137516558_morp0.291.png	0	0.291	Detached
12	TIC0453012065_morp0.617.png	0	0.617	SemiDetached
13	TIC0212377300_morp0.842.png	2	0.842	Ellipsoidal
14	TIC0438212183_morp0.343.png	0	0.343	Detached
15	TIC0453426326_morp0.439.png	0	0.439	SemiDetached
16	TIC0049899799_morp0.265.png	1	0.265	Detached
17	TIC0231810776_morp0.704.png	2	0.704	OverContact
18	TIC0120585579_morp0.26.png	1	0.26	Detached
19	TIC0231921891_morp0.527.png	3	0.527	SemiDetached
20	TIC0050758245_morp0.561.png	3	0.561	SemiDetached
21	TIC0170634116_morp0.337.png	1	0.337	Detached
22	TIC0423358373_morp0.83.png	2	0.83	Ellipsoidal
23	TIC0401889117_morp0.205.png	0	0.205	Detached
24	TIC0331947033_morp0.248.png	1	0.248	Detached
25	TIC0193391232_morp0.522.png	3	0.522	SemiDetached
26	TIC0253826623_morp0.123.png	1	0.123	Detached
27	TIC0418244848_morp0.459.png	0	0.459	SemiDetached
28	TIC0318887874_morp0.541.png	3	0.541	SemiDetached
29	TIC0366786599_morp0.956.png	2	0.956	Ellipsoidal
30	TIC0159105847_morp0.765.png	2	0.765	OverContact
31	TIC0290034099_morp0.782.png	2	0.782	OverContact
32	TIC0067296459_morp0.582.png	3	0.582	SemiDetached
33	TIC0157999789_morp0.015.png	1	0.015	Detached
34	TIC0177118376_morp0.878.png	2	0.878	Ellipsoidal
35	TIC0235000061_morp0.777.png	2	0.777	OverContact
36	TIC0328862783_morp0.191.png	0	0.191	Detached
37	TIC0307379977_morp0.612.png	3	0.612	SemiDetached
38	TIC0079328890_morp0.673.png	3	0.673	SemiDetached
39	TIC0133105082_morp0.789.png	2	0.789	OverContact
40	TIC0172464366_morp0.493.png	0	0.493	SemiDetached
41	TIC0418532689_morp0.62.png	2	0.62	SemiDetached
42	TIC0166319733_morp0.719.png	2	0.719	OverContact
43	TIC0038023570_morp0.426.png	0	0.426	SemiDetached
44	TIC0201601338_morp0.707.png	0	0.707	OverContact
45	TIC0356064345_morp0.585.png	3	0.585	SemiDetached
46	TIC0160585813_morp0.332.png	0	0.332	Detached
47	TIC0265591866_morp0.546.png	3	0.546	SemiDetached
48	TIC0387586260_morp0.813.png	2	0.813	Ellipsoidal
49	TIC0229461186_morp0.756.png	2	0.756	OverContact
50	TIC0409343223_morp0.316.png	0	0.316	Detached
51	TIC0106470229_morp0.247.png	1	0.247	Detached
52	TIC0117397619_morp0.384.png	0	0.384	Detached
53	TIC0396740648_morp0.267.png	1	0.267	Detached
54	TIC0274700641_morp0.963.png	2	0.963	Ellipsoidal
55	TIC0390554357_morp0.579.png	3	0.579	SemiDetached
56	TIC0450104319_morp0.538.png	3	0.538	SemiDetached
57	TIC0278956474_morp0.314.png	1	0.314	Detached
58	TIC0280564453_morp0.316.png	0	0.316	Detached
59	TIC0268404844_morp0.306.png	0	0.306	Detached
60	TIC0237332597_morp0.396.png	0	0.396	Detached
61	TIC0141606986_morp0.731.png	2	0.731	OverContact
62	TIC0256640561_morp0.62.png	3	0.62	SemiDetached
63	TIC0198410119_morp0.899.png	2	0.899	Ellipsoidal
64	TIC0289670788_morp0.56.png	3	0.56	SemiDetached
65	TIC0370676773_morp0.903.png	2	0.903	Ellipsoidal
66	TIC0306651396_morp0.44.png	1	0.44	SemiDetached
67	TIC0098974882_morp0.46.png	3	0.46	SemiDetached
68	TIC0278076037_morp0.712.png	2	0.712	OverContact
69	TIC0060433558_morp0.368.png	1	0.368	Detached
70	TIC0384031569_morp0.135.png	0	0.135	Detached
71	TIC0033742428_morp0.519.png	3	0.519	SemiDetached
72	TIC0214716930_morp0.261.png	1	0.261	Detached
73	TIC0266769521_morp0.797.png	2	0.797	OverContact
74	TIC0318067171_morp0.325.png	1	0.325	Detached
75	TIC0032050581_morp0.224.png	1	0.224	Detached
76	TIC0265015162_morp0.951.png	2	0.951	Ellipsoidal
77	TIC0162173122_morp0.744.png	3	0.744	OverContact
78	TIC0346599599_morp0.475.png	3	0.475	SemiDetached
79	TIC0312865025_morp0.562.png	3	0.562	SemiDetached
80	TIC0308050066_morp0.203.png	1	0.203	Detached
81	TIC0149861542_morp0.444.png	0	0.444	SemiDetached
82	TIC0273865522_morp0.917.png	2	0.917	Ellipsoidal
83	TIC0423220124_morp0.514.png	0	0.514	SemiDetached
84	TIC0084628518_morp0.439.png	1	0.439	SemiDetached
85	TIC0387107961_morp0.457.png	0	0.457	SemiDetached
86	TIC0114547549_morp0.524.png	0	0.524	SemiDetached
87	TIC0144462697_morp0.555.png	3	0.555	SemiDetached
88	TIC0290410988_morp0.737.png	2	0.737	OverContact
89	TIC0454058066_morp0.667.png	2	0.667	SemiDetached
90	TIC0123038007_morp0.907.png	2	0.907	Ellipsoidal
91	TIC0135244338_morp0.963.png	2	0.963	Ellipsoidal
92	TIC0403153647_morp0.277.png	1	0.277	Detached
93	TIC0343549114_morp0.303.png	0	0.303	Detached
94	TIC0345451479_morp0.756.png	2	0.756	OverContact
95	TIC0287095354_morp0.635.png	3	0.635	SemiDetached
96	TIC0464422047_morp0.492.png	3	0.492	SemiDetached
97	TIC0066545120_morp0.624.png	3	0.624	SemiDetached
98	TIC0144194304_morp0.717.png	2	0.717	OverContact
99	TIC0141943694_morp0.38.png	0	0.38	Detached
100	TIC0207504663_morp0.629.png	3	0.629	SemiDetached
101	TIC0283476365_morp0.74.png	0	0.74	OverContact
102	TIC0233558430_morp0.241.png	1	0.241	Detached
103	TIC0121122016_morp0.224.png	0	0.224	Detached
104	TIC0294059372_morp0.605.png	3	0.605	SemiDetached
105	TIC0406276109_morp0.139.png	1	0.139	Detached
106	TIC0219707463_morp0.181.png	1	0.181	Detached
107	TIC0402918060_morp0.365.png	1	0.365	Detached
108	TIC0291385340_morp0.093.png	0	0.093	Detached
109	TIC0406758816_morp0.542.png	3	0.542	SemiDetached
110	TIC0088380001_morp0.147.png	1	0.147	Detached
111	TIC0176854066_morp0.486.png	0	0.486	SemiDetached
112	TIC0101302325_morp0.564.png	3	0.564	SemiDetached
113	TIC0278683641_morp0.314.png	0	0.314	Detached
114	TIC0051947865_morp0.257.png	1	0.257	Detached
115	TIC0172431974_morp0.583.png	3	0.583	SemiDetached
116	TIC0357398958_morp0.607.png	3	0.607	SemiDetached
117	TIC0141124793_morp0.266.png	1	0.266	Detached
118	TIC0219739347_morp0.487.png	3	0.487	SemiDetached
119	TIC0102195674_morp0.246.png	1	0.246	Detached
120	TIC0184246521_morp0.576.png	3	0.576	SemiDetached
121	TIC0316333039_morp0.855.png	2	0.855	Ellipsoidal
122	TIC0314527844_morp0.465.png	1	0.465	SemiDetached
123	TIC0295111026_morp0.544.png	3	0.544	SemiDetached
124	TIC0260703820_morp0.236.png	0	0.236	Detached
125	TIC0184679932_morp0.476.png	3	0.476	SemiDetached
126	TIC0257525627_morp0.847.png	2	0.847	Ellipsoidal
127	TIC0280033934_morp0.761.png	2	0.761	OverContact
128	TIC0365089053_morp0.689.png	2	0.689	SemiDetached
129	TIC0160472514_morp0.579.png	3	0.579	SemiDetached
130	TIC0459252372_morp0.548.png	0	0.548	SemiDetached
131	TIC0144539611_morp0.23.png	0	0.23	Detached
132	TIC0364395234_morp0.505.png	3	0.505	SemiDetached
133	TIC0179308939_morp0.585.png	0	0.585	SemiDetached
134	TIC0376499580_morp0.411.png	3	0.411	SemiDetached
135	TIC0301160638_morp0.109.png	0	0.109	Detached
136	TIC0436869712_morp0.434.png	0	0.434	SemiDetached
137	TIC0199708835_morp0.193.png	1	0.193	Detached
138	TIC0273042299_morp0.53.png	3	0.53	SemiDetached
139	TIC0136656542_morp0.813.png	2	0.813	Ellipsoidal
140	TIC0201796819_morp0.906.png	2	0.906	Ellipsoidal
141	TIC0197183006_morp0.477.png	3	0.477	SemiDetached
142	TIC0434664688_morp0.077.png	1	0.077	Detached
143	TIC0059834339_morp0.218.png	1	0.218	Detached
144	TIC0365787759_morp0.585.png	3	0.585	SemiDetached
145	TIC0194303300_morp0.348.png	0	0.348	Detached
146	TIC0356896561_morp0.455.png	3	0.455	SemiDetached
147	TIC0081604794_morp0.352.png	0	0.352	Detached
148	TIC0141685465_morp0.22.png	0	0.22	Detached
149	TIC0422327572_morp0.857.png	2	0.857	Ellipsoidal
150	TIC0343320735_morp0.162.png	0	0.162	Detached
151	TIC0167983141_morp0.173.png	1	0.173	Detached
152	TIC0136732283_morp0.424.png	0	0.424	SemiDetached
153	TIC0198555959_morp0.266.png	0	0.266	Detached
154	TIC0234347951_morp0.037.png	1	0.037	Detached
155	TIC0356199330_morp0.965.png	2	0.965	Ellipsoidal
156	TIC0293605127_morp0.637.png	2	0.637	SemiDetached
157	TIC0160081043_morp0.652.png	3	0.652	SemiDetached
158	TIC0253844234_morp0.541.png	3	0.541	SemiDetached
159	TIC0126637765_morp0.835.png	2	0.835	Ellipsoidal
160	TIC0244250449_morp0.54.png	3	0.54	SemiDetached
161	TIC0418295363_morp0.537.png	3	0.537	SemiDetached
162	TIC0287841093_morp0.083.png	1	0.083	Detached
163	TIC0279855551_morp0.254.png	1	0.254	Detached
164	TIC0273372402_morp0.562.png	3	0.562	SemiDetached
165	TIC0147201138_morp0.557.png	3	0.557	SemiDetached
166	TIC0037606218_morp0.21.png	1	0.21	Detached
167	TIC0233650330_morp0.249.png	0	0.249	Detached
168	TIC0063644417_morp0.377.png	0	0.377	Detached
169	TIC0416264037_morp0.625.png	3	0.625	SemiDetached
170	TIC0280685089_morp0.377.png	1	0.377	Detached
171	TIC0191933664_morp0.163.png	0	0.163	Detached
172	TIC0358232450_morp0.574.png	3	0.574	SemiDetached
173	TIC0302043038_morp0.131.png	1	0.131	Detached
174	TIC0365070861_morp0.977.png	2	0.977	Ellipsoidal
175	TIC0342334344_morp0.688.png	2	0.688	SemiDetached
176	TIC0219238496_morp0.238.png	0	0.238	Detached
177	TIC0140659978_morp0.09.png	1	0.09	Detached
178	TIC0229914020_morp0.605.png	3	0.605	SemiDetached
179	TIC0443171652_morp0.217.png	1	0.217	Detached
180	TIC0172529744_morp0.223.png	0	0.223	Detached
181	TIC0237114978_morp0.973.png	2	0.973	Ellipsoidal
182	TIC0215336287_morp0.538.png	3	0.538	SemiDetached
183	TIC0197760286_morp0.456.png	0	0.456	SemiDetached
184	TIC0159346490_morp0.626.png	3	0.626	SemiDetached
185	TIC0048880872_morp0.463.png	0	0.463	SemiDetached
186	TIC0251094451_morp0.959.png	2	0.959	Ellipsoidal
187	TIC0058466459_morp0.294.png	1	0.294	Detached
188	TIC0278829112_morp0.792.png	2	0.792	OverContact
189	TIC0143848624_morp0.329.png	0	0.329	Detached
190	TIC0099641129_morp0.543.png	3	0.543	SemiDetached
191	TIC0091638523_morp0.484.png	3	0.484	SemiDetached
192	TIC0284990199_morp0.384.png	0	0.384	Detached
193	TIC0402319281_morp0.756.png	3	0.756	OverContact
194	TIC0062761513_morp0.494.png	0	0.494	SemiDetached
195	TIC0325412896_morp0.609.png	3	0.609	SemiDetached
196	TIC0359588615_morp0.993.png	2	0.993	Ellipsoidal
197	TIC0312862941_morp0.722.png	0	0.722	OverContact
198	TIC0256352113_morp0.752.png	3	0.752	OverContact
199	TIC0030034081_morp0.506.png	3	0.506	SemiDetached
200	TIC0061135882_morp0.233.png	1	0.233	Detached
201	TIC0258351350_morp0.619.png	3	0.619	SemiDetached
202	TIC0331377569_morp0.841.png	2	0.841	Ellipsoidal
203	TIC0031054255_morp0.295.png	1	0.295	Detached
204	TIC0166660531_morp0.766.png	2	0.766	OverContact
205	TIC0072839144_morp0.615.png	3	0.615	SemiDetached
206	TIC0389510663_morp0.338.png	0	0.338	Detached
207	TIC0176871438_morp0.239.png	1	0.239	Detached
208	TIC0157847499_morp0.619.png	3	0.619	SemiDetached
209	TIC0305399325_morp0.218.png	0	0.218	Detached
210	TIC0302668828_morp0.25.png	0	0.25	Detached
211	TIC0125501325_morp0.211.png	0	0.211	Detached
212	TIC0237116051_morp0.388.png	0	0.388	Detached
213	TIC0418257102_morp0.747.png	3	0.747	OverContact
214	TIC0339568213_morp0.576.png	3	0.576	SemiDetached
215	TIC0258519658_morp0.388.png	0	0.388	Detached
216	TIC0306410072_morp0.551.png	0	0.551	SemiDetached
217	TIC0295803225_morp0.32.png	1	0.32	Detached
218	TIC0070717462_morp0.487.png	3	0.487	SemiDetached
219	TIC0409319605_morp0.576.png	3	0.576	SemiDetached
220	TIC0417728463_morp0.441.png	3	0.441	SemiDetached
221	TIC0077468221_morp0.369.png	0	0.369	Detached
222	TIC0470358759_morp0.148.png	0	0.148	Detached
223	TIC0159984211_morp0.486.png	1	0.486	SemiDetached
224	TIC0266958963_morp0.141.png	1	0.141	Detached
225	TIC0359767082_morp0.762.png	2	0.762	OverContact
226	TIC0148914403_morp0.081.png	1	0.081	Detached
227	TIC0159638876_morp0.795.png	2	0.795	OverContact
228	TIC0298264838_morp0.394.png	0	0.394	Detached
229	TIC0178284730_morp0.198.png	1	0.198	Detached
230	TIC0425223388_morp0.519.png	1	0.519	SemiDetached
231	TIC0307085577_morp0.596.png	0	0.596	SemiDetached
232	TIC0055369219_morp0.471.png	0	0.471	SemiDetached
233	TIC0071612483_morp0.431.png	0	0.431	SemiDetached
234	TIC0357744369_morp0.546.png	3	0.546	SemiDetached
235	TIC0292321872_morp0.216.png	1	0.216	Detached
236	TIC0301247295_morp0.441.png	3	0.441	SemiDetached
237	TIC0350443417_morp0.514.png	3	0.514	SemiDetached
238	TIC0413395842_morp0.808.png	0	0.808	Ellipsoidal
