# TIC 0053997651_morp_ 0.159_T0_ 1546.775697_P_ 2.9173324.csv, none
# name, value
id,TIC 0053997651_morp_ 0.159_T0_ 1546.775697_P_ 2.9173324.csv,target identifier
stage,  9,furthest stage the analysis reached
t_tot,24.150147089269012,total time base of observations in days
t_mean,2451556.3887295304,time series mean time reference point
period,2.9173002752252337,orbital period in days
p_err,0.0001168623126901065,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,258.0,number of free parameters after the prewhitening phase
bic_prew,-90435.84294625229,BIC after the prewhitening phase
noise_level_prew,0.012954942497426928,noise level after the prewhitening phase
t_1,4.973535174750162,time of primary minimum with respect to the mean time
t_2,6.377694464681137,time of secondary minimum with respect to the mean time
t_1_1,4.9287779091703925,time of primary first contact with respect to the mean time
t_1_2,5.020311214139163,time of primary last contact with respect to the mean time
t_2_1,6.332867183824745,time of secondary first contact with respect to the mean time
t_2_2,6.421675727611695,time of secondary last contact with respect to the mean time
t_b_1_1,4.973535174750162,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,4.973535174750162,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,6.377694464681137,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,6.377694464681137,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.8032316763304782,depth of primary minimum
depth_2,0.7948979471191956,depth of secondary minimum
t_1_err,0.0008524648983211263,error in time of primary minimum (t_1)
t_2_err,0.0007152063632293544,error in time of secondary minimum (t_2)
t_1_1_err,0.0011805282624699747,error in time of primary first contact (t_1_1)
t_1_2_err,0.0012300970014548509,error in time of primary last contact (t_1_2)
t_2_1_err,0.001009690927117883,error in time of secondary first contact (t_2_1)
t_2_2_err,0.0010132150806767865,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.0011805282624699747,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.0012300970014548509,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.001009690927117883,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.0010132150806767865,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,0.005288833127632192,error in depth of primary minimum
d_2_err,0.005288833127632192,error in depth of secondary minimum
t_1_ind_err,0.0013869420050035212,individual error in time of primary minimum (t_1)
t_2_ind_err,0.0011636253285762,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.0019206940233410582,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.002001341292652178,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.0016427453630626938,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.0016484790848998651,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.00031160803494703014,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.00031160803494703014,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.0003048573426511778,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.0003048573426511778,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.015866499382896575,individual error in depth of primary minimum
d_2_ind_err,0.015866499382896575,individual error in depth of secondary minimum
ecosw_form,-0.029341000363791066,e*cos(w) from timing formulae
esinw_form,-0.015132637966176721,e*sin(w) from timing formulae
cosi_form,2.1012702516700517e-07,cosine of inclination from timing formulae
phi_0_form,0.09723803511123752,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,6.203283315881095e-06,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,-0.0072763040610115,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.03301349775718048,eccentricity from timing formulae
w_form,3.617761183694935,argument of periastron (radians) from timing formulae
i_form,1.5707961166678714,inclination (radians) from timing formulae
r_sum_form,0.09697906085314768,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,1.0000142836897017,radius ratio r2/r1 from timing formulae
sb_rat_form,0.9833852636070296,surface brightness ratio sb2/sb1 from timing formulae
ecosw_sig,0.0005999170288828573,formal uncorrelated error in ecosw
esinw_sig,0.01235988688346756,formal uncorrelated error in esinw
cosi_sig,0.034992854604336196,error estimate for cosi used for formal errors
phi_0_sig,0.0011983104017517208,formal uncorrelated error in phi_0
log_rr_sig,8.253789388033127e-06,scaled error formal estimate for log_rr
log_sb_sig,0.011304728130962548,scaled formal error estimate for log_sb
e_sig,0.00569052516669245,formal uncorrelated error in e
w_sig,0.3328452534980242,formal uncorrelated error in w
i_sig,0.035,error estimate for i used for formal errors
r_sum_sig,3.6427331046039345e-05,formal uncorrelated error in r_sum
r_rat_sig,1.3305707417020094,scaled error formal estimate for r_rat
sb_rat_sig,1.5278227737403012,scaled error formal estimate for sb_rat
ecosw_low,0.0005999170288828573,lower error estimate in ecosw
ecosw_upp,0.0007557821777590713,upper error estimate in ecosw
esinw_low,0.01471435407657745,lower error estimate in esinw
esinw_upp,0.01235988688346756,upper error estimate in esinw
cosi_low,0.034992854604336196,lower error estimate in cosi
cosi_upp,0.034992854604336196,upper error estimate in cosi
phi_0_low,0.0012595839980382578,lower error estimate in phi_0
phi_0_upp,0.0011983104017517208,upper error estimate in phi_0
log_rr_low,8.253789388033127e-06,lower error estimate in log_rr
log_rr_upp,8.253789388033127e-06,upper error estimate in log_rr
log_sb_low,0.011304728130962548,lower error estimate in log_sb
log_sb_upp,0.011304728130962548,upper error estimate in log_sb
e_low,0.006758640868350006,lower error estimate in e
e_upp,0.00569052516669245,upper error estimate in e
w_low,0.3961835975535495,lower error estimate in w
w_upp,0.3760160323443573,upper error estimate in w
i_low,0.035,lower error estimate in i
i_upp,0.035,upper error estimate in i
r_sum_low,0.001330795360287948,lower error estimate in r_sum
r_sum_upp,0.0010178978666913058,upper error estimate in r_sum
r_rat_low,1.3305707417020094,lower error estimate in r_rat
r_rat_upp,1.3305707417020094,upper error estimate in r_rat
sb_rat_low,1.5278227737403012,lower error estimate in sb_rat
sb_rat_upp,1.5278227737403012,upper error estimate in sb_rat
ecosw_phys,-0.029473038514783396,e cos(w) of the physical model
esinw_phys,0.01576684503977779,e sin(w) of the physical model
cosi_phys,6.123233995736766e-17,cos(i) of the physical model
phi_0_phys,0.1369329090546643,phi_0 of the physical model
log_rr_phys,-2.2830752198009903e-05,log of radius ratio of the physical model
log_sb_phys,-0.041167102457667144,log of surface brightness ratio of the physical model
e_phys,0.03342534071333112,eccentricity of the physical model
w_phys,2.650371109205495,argument of periastron of the physical model
i_phys,1.5707963267948966,inclination (radians) of the physical model
r_sum_phys,0.1363528694454119,sum of fractional radii of the physical model
r_rat_phys,0.9999474316320921,radius ratio of the physical model
sb_rat_phys,0.909563234806561,surface brightness ratio of the physical model
ecosw_err_l,-1.0,lower HDI error estimate in ecosw
ecosw_err_u,-1.0,upper HDI error estimate in ecosw
esinw_err_l,-1.0,lower HDI error estimate in esinw
esinw_err_u,-1.0,upper HDI error estimate in esinw
cosi_err_l,-1.0,lower HDI error estimate in cosi
cosi_err_u,-1.0,upper HDI error estimate in cosi
phi_0_err_l,-1.0,lower HDI error estimate in phi_0
phi_0_err_u,-1.0,upper HDI error estimate in phi_0
log_rr_err_l,-1.0,lower HDI error estimate in log_rr
log_rr_err_u,-1.0,upper HDI error estimate in log_rr
log_sb_err_l,-1.0,lower HDI error estimate in log_sb
log_sb_err_u,-1.0,upper HDI error estimate in log_sb
e_err_l,-1.0,lower HDI error estimate in e
e_err_u,-1.0,upper HDI error estimate in e
w_err_l,-1.0,lower HDI error estimate in w
w_err_u,-1.0,upper HDI error estimate in w
i_err_l,-1.0,lower HDI error estimate in i
i_err_u,-1.0,upper HDI error estimate in i
r_sum_err_l,-1.0,lower HDI error estimate in r_sum
r_sum_err_u,-1.0,upper HDI error estimate in r_sum
r_rat_err_l,-1.0,lower HDI error estimate in r_rat
r_rat_err_u,-1.0,upper HDI error estimate in r_rat
sb_rat_err_l,-1.0,lower HDI error estimate in sb_rat
sb_rat_err_u,-1.0,upper HDI error estimate in sb_rat
n_param_phys,316.0,number of parameters after physical model optimisation
bic_phys,-89470.25856826706,BIC after physical model optimisation
noise_level_phys,0.01312106780955738,noise level after physical model optimisation
total_freqs,102,total number of frequencies
passed_sigma,102,number of frequencies that passed the sigma test
passed_snr,74,number of frequencies that passed the S/R test
passed_both,74,number of frequencies that passed both tests
passed_harmonics,57,number of harmonics that passed both tests
std_1,0.01312106780955738,Standard deviation of the residuals of the linear+sinusoid+eclipse model
std_2,0.04975276034718156,Standard deviation of the residuals of the linear+eclipse model
std_3,0.049176325086135536,Standard deviation of the residuals of the linear+harmonic 1 and 2+eclipse model
std_4,0.04993810306888976,Standard deviation of the residuals of the linear+non-harmonic sinusoid+eclipse model
ratio_1_1,61.21694422960032,Ratio of the first eclipse depth to std_1
ratio_1_2,60.581803147164,Ratio of the second eclipse depth to std_1
ratio_2_1,16.14446456287888,Ratio of the first eclipse depth to std_2
ratio_2_2,15.976961711717884,Ratio of the second eclipse depth to std_2
ratio_3_1,16.33370681773324,Ratio of the first eclipse depth to std_3
ratio_3_2,16.164240530923774,Ratio of the second eclipse depth to std_3
ratio_4_1,16.084545206341094,Ratio of the first eclipse depth to std_4
ratio_4_2,15.91766403346622,Ratio of the second eclipse depth to std_4
