# TIC 0199662929_morp_ 0.406_T0_ 1740.694015_P_ 2.2935708, none
# name, value
id,TIC 0199662929_morp_ 0.406_T0_ 1740.694015_P_ 2.2935708,target identifier
stage,  9,furthest stage the analysis reached
t_tot,296.4529226142913,total time base of observations in days
t_mean,2451940.77792921,time series mean time reference point
period,2.293570800000075,orbital period in days
p_err,5.515408170494238e-06,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,201.0,number of free parameters after the prewhitening phase
bic_prew,-41791.924906186476,BIC after the prewhitening phase
noise_level_prew,0.0008620986830443884,noise level after the prewhitening phase
t_1,1.6475423603064143,time of primary minimum with respect to the mean time
t_2,1.8519226586747193,time of secondary minimum with respect to the mean time
t_1_1,1.5744140757909275,time of primary first contact with respect to the mean time
t_1_2,1.6888817217449772,time of primary last contact with respect to the mean time
t_2_1,1.810716324475584,time of secondary first contact with respect to the mean time
t_2_2,1.9253078233766865,time of secondary last contact with respect to the mean time
t_b_1_1,1.6475423603064143,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,1.6475423603064143,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,1.8519226586747193,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,1.8519226586747193,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.0047214260103592785,depth of primary minimum
depth_2,0.004708835203944141,depth of secondary minimum
t_1_err,0.0006228106116971562,error in time of primary minimum (t_1)
t_2_err,0.0005382155214702522,error in time of secondary minimum (t_2)
t_1_1_err,0.000988597290449511,error in time of primary first contact (t_1_1)
t_1_2_err,0.0007577912835908238,error in time of primary last contact (t_1_2)
t_2_1_err,0.0007611518125698594,error in time of secondary first contact (t_2_1)
t_2_2_err,0.0007611515673159972,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.000988597290449511,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.0007577912835908238,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.0007611518125698594,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.0007611515673159972,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,8.346627933718957e-05,error in depth of primary minimum
d_2_err,7.045707548280747e-05,error in depth of secondary minimum
t_1_ind_err,0.0035710706943958767,individual error in time of primary minimum (t_1)
t_2_ind_err,0.0030860194734864187,individual error in time of secondary minimum (t_2)
