in_catalog,tic__tess_id,date_added,date_modified,sectors,tic__ra,tic__dec,tic__Tmag,tic__glat,tic__glon,tic__pmra,tic__pmdec,bjd0,bjd0_uncert,period,period_uncert,morph_coeff,tic__teff,tic__logg,tic__abun,source,flags
True, 0000091961, 2020-07-28 16:42:26, , 11, 221.698000, -23.919900, 12.39, 334.203801, 31.855091, -53.99, -27.04, 1602.822700, 0.000237, 5.2826248, 0.0001213, 0.175, , 4.84, , LCF, ,
True, 0000101462, 2020-07-28 17:17:29, , 4;11, 222.057654, -24.613206, 9.83, 334.123866, 31.091199, -19.5, -24.5, 1413.823652, 0.000168, 4.1739815, 0.0000148, 0.166, 5019, , , LCF, ,
True, 0000120016, 2020-07-28 16:42:07, , 11, 222.577328, -24.427736, 7.51, 334.708892, 31.009088, -29.1, 9.1, 1600.078662, 0.048435, 0.3263708, 0.0000029, 0.849, 5721, , , LCF, ,
True, 0000627436, 2020-07-28 18:40:53, , 5;32, 73.047312, -25.194085, 11.72, 225.408805, -36.475536, 2.86489, 5.87854, 1438.295848, 0.000266, 0.5789058, 0.0000008, 0.817, 7295, 4.02, , LCF, ,
True, 0000737546, 2020-07-28 18:40:53, , 5, 74.515027, -29.933010, 10.54, 231.518527, -36.420566, 6.23221, 3.73397, 1438.135292, 0.000163, 3.0677452, 0.0000988, 0.568, 7068, 3.48, , LCF, ,
True, 0000927579, 2020-12-01 19:06:30, , 7;8, 127.130028, -13.872155, 13.12, 237.002388, 14.230944, -25.25, -65.03, 1516.261809, 0.000607, 6.0705574, 0.0004239, 0.331, 3539, 4.82, , LCF, ,
True, 0001003831, 2020-07-28 18:42:19, , 8;34, 130.295165, -16.036280, 10.67, 240.629031, 15.553844, -2.50757, -11.0249, 1518.970858, 0.713781, 1.6511490, 0.0000094, 0.235, 5550, 4.33, , LCF, A,
True, 0001045298, 2020-07-28 18:40:26, , 4, 34.426733, -8.277570, 10.69, 174.224154, -62.214869, 16.6651, 0.444636, 1411.144468, 0.001283, 1.4634139, 0.0000076, 0.641, 5744, 3.47, , LCF, A,
True, 0001103432, 2020-07-28 18:42:19, , 8, 130.581457, -17.189435, 12.83, 241.770759, 15.114919, -3.97319, 2.48254, 1518.136475, 0.033450, 3.7260484, 0.0022955, 0.319, 6066, 3.97, -0.17, LCF, ,
True, 0001129033, 2020-07-28 21:15:07, , 4;31, 37.155115, -7.060661, 9.63, 176.349875, -59.436269, 93.8886, -1.56683, 1410.945897, 0.038875, 1.3600996, 0.0000708, 0.497, 5605, 4.49, 0.07, LCF, A,
True, 0001129452, 2020-07-28 19:32:52, , 4, 37.165305, -9.595953, 8.54, 180.147874, -61.135502, 12.0336, 8.43723, 1411.497547, 0.045034, 0.7140171, 0.0000080, 0.988, 6863, 3.97, , LCF, ,
True, 0001190662, 2020-07-28 17:16:47, , 8;35, 136.039996, -16.493528, 13.17, 244.441055, 19.729038, -23.8545, -57.4864, 1517.371274, 0.191839, 0.8879691, 0.0002011, 0.281, 3595, 4.28, , LCF, ,
True, 0001202347, 2020-07-28 17:16:57, , 8, 131.278341, -27.919516, 11.73, 250.992039, 9.250573, -7.46171, 4.14582, 1519.656909, 0.000890, 4.1505025, 0.0002634, 0.354, 7047, 3.85, , LCF, ,
True, 0001220444, 2020-07-28 17:18:53, , 5, 71.527391, -30.623296, 8.97, 231.667769, -39.088688, 19.8422, 34.7583, 1440.634408, 0.000114, 7.1620656, 0.0001299, 0.173, 5931, 4.18, , LCF, ,
True, 0001230647, 2020-07-28 18:42:20, , 8, 137.346093, -15.589027, 9.08, 244.501785, 21.275154, -30.5571, -0.295337, 1517.562069, 0.000680, 1.1897403, 0.0000591, 0.586, 6533, 4.26, , LCF, ,
True, 0001449640, 2020-07-28 18:40:54, , 5;32, 75.171614, -35.202611, 11.92, 238.096018, -36.925031, -6.44752, -14.7907, 1440.419896, 0.009819, 3.5017948, 0.0000074, 0.396, 6411, 4.10, , LCF, A,
True, 0001450518, 2020-07-28 18:40:54, , 5, 75.204095, -32.211025, 11.26, 234.439781, -36.339517, -30.5717, 76.1318, 1438.085617, 0.001029, 0.3337474, 0.0000045, 0.650, 4171, 4.26, , LCF, ,
True, 0001630438, 2020-07-28 16:41:40, , 10, 188.135358, -15.522916, 9.89, 296.237158, 47.103049, -4.72143, -15.7555, 1571.250526, 0.000082, 0.3905231, 0.0000011, 0.989, 6333, 4.00, , LCF, ,
True, 0001630690, 2020-07-28 16:41:11, , 10, 188.192444, -16.438861, 10.05, 296.458292, 46.198103, -80.0349, 18.7787, 1571.173452, 0.000061, 0.4136605, 0.0000012, 0.965, 6391, 4.12, , LCF, ,
True, 0002020964, 2020-07-28 17:16:51, , 8, 133.458629, -25.084257, 8.29, 249.935756, 12.532156, -1.30336, -12.3489, 1519.302412, 0.000011, 2.9423359, 0.0000057, 0.559, 6269, 3.28, , LCF, A,
True, 0002234723, 2020-07-28 18:47:16, , 19, 79.629802, 33.164644, 8.19, 173.285684, -2.544835, 6.22623, -17.2451, 1816.645661, 0.529985, 2.4620690, 0.0007663, 0.594, 11906, 4.21, , LCF, ,
True, 0002236015, 2020-07-28 16:48:21, , 19, 79.578733, 33.767367, 6.21, 172.767487, -2.233341, 15.2908, -29.4435, 1819.171258, 0.000006, 4.1346604, 0.0000104, 0.373, 10641, 3.95, , LCF, ,
True, 0002353789, 2020-07-28 17:16:54, , 8, 134.278108, -28.772894, 11.38, 253.337414, 10.788025, -1.64708, -1.85789, 1518.763729, 0.000453, 1.8717000, 0.0000620, 0.425, 6969, 3.91, , LCF, ,
True, 0002372579, 2020-07-28 16:43:40, , 13, 288.917046, -28.689227, 9.96, 9.116107, -17.534952, 14.4227, -22.0512, 1664.784822, 0.000566, 9.9210976, 0.0001844, 0.082, 5417, 4.22, , LCF, ,
True, 0002595273, 2020-07-28 16:48:10, , 19, 80.134695, 33.526112, 11.32, 173.230626, -1.992093, 0.307255, -60.8081, 1817.123506, 0.023444, 2.1129222, 0.0085717, 0.421, 5534, 4.41, -0.52, LCF, ,
True, 0002758565, 2020-12-01 19:06:32, , 29, 356.283145, -17.449190, 12.36, 61.800937, -71.893330, -19.3257, -17.2144, 1359.372388, 0.004343, 3.7685478, 0.0098131, 0.658, 5807, 4.32, , LCF, ,
True, 0003034524, 2020-07-28 16:48:20, , 19, 82.141990, 33.306049, 16.51, 174.354853, -0.730177, 0.282976, -2.90303, 1816.367296, 0.000769, 0.3574713, 0.0000129, 0.556, 7421, 4.84, , LCF, A,
True, 0003311888, 2020-07-28 16:48:07, , 19, 82.427636, 35.375016, 6.89, 172.761274, 0.610295, 2.1, -1.8, 1817.773518, 0.008958, 4.0010398, 0.0008510, 0.720, , , , LCF, ,
True, 0003815360, 2020-07-28 17:15:41, , 3;30, 10.195833, -11.367027, 8.56, 113.393536, -74.041132, 51.6719, 29.0213, 1378.712211, 3.242720, 19.5810469, 0.0000814, 0.060, 5997, , , LCF, A,
True, 0003816260, 2020-07-28 17:15:29, , 3, 10.135067, -6.480880, 10.09, 115.292334, -69.190825, 10.3246, -12.8601, 1390.527157, 0.000724, 13.1278709, 0.0002084, 0.122, 6353, 3.90, , LCF, ,
True, 0003921749, 2020-07-28 17:15:31, , 3;30, 11.833318, -6.442636, 10.85, 120.047277, -69.291390, 97.1416, 9.55937, 1388.675623, 0.005251, 5.6112212, 0.0000469, 0.175, 4007, 4.38, , LCF, ,
True, 0004164713, 2020-07-28 16:48:34, , 20, 114.625919, 33.711681, 7.49, 185.838781, 23.831430, -36.1143, 21.485, 1842.988383, 0.000285, 0.2747868, 0.0000059, 0.832, 6530, , , LCF, ,
True, 0004206238, 2020-07-28 19:29:23, , 6;32, 80.879210, -1.073250, 9.90, 203.503042, -19.973996, 1.26911, -0.51555, 1483.133596, 0.019576, 14.9741075, 0.0006957, 0.267, 6503, 3.82, , LCF, A,
True, 0004247738, 2020-07-28 18:47:36, , 20, 115.328522, 31.242822, 14.54, 188.603380, 23.627890, -25.8607, -5.54654, 1842.563799, 0.000320, 1.3022557, 0.0000319, 0.347, 3411, 4.69, , LCF, ,
True, 0004254645, 2020-07-28 18:41:23, , 6, 81.119240, -2.397139, 8.08, 204.865734, -20.391576, -0.54, -3.21, 1468.263848, 0.135723, 4.0387948, 0.0333669, 0.535, , , , LCF, A,
