KIC,KeplerMorph,KeplerClass,TIC,TessMorph,TessClass,DR3,Prediction,DR3ClassPrediction,maxValue
9472174,0.78,OverContact,271164763,,,2080063931448749824,"0.0032840827, 0.22381584, 0.452207, 0.32069305",OverContact,0.4522069990634918
6387887,0.58,SemiDetached,170251720,,,2073906430127699712,"0.7732969, 0.22340578, 0.0024963291, 0.00080099946",Detached,0.7732968926429749
12055255,0.9,Ellipsoidal,298786644,,,2132960065768816000,"0.02562861, 0.009653557, 0.05296956, 0.91174835",Ellipsoidal,0.9117483496665955
10965091,0.76,OverContact,405686839,,,2131900651955196416,"0.00064152706, 0.9982821, 0.001032168, 4.421779e-05",SemiDetached,0.9982820749282837
11413213,0.87,Ellipsoidal,351191274,,,2086842734172524416,"0.10462342, 0.042883188, 0.3956811, 0.45681232",Ellipsoidal,0.45681232213974
6050116,0.79,OverContact,138636448,,,2077400678073089280,"0.001790818, 0.9817362, 0.016234541, 0.00023843393",SemiDetached,0.9817361831665039
7546791,0.94,Ellipsoidal,272707302,,,2078718167879352832,"0.005196494, 0.020109124, 0.23714982, 0.73754454",Ellipsoidal,0.7375445365905762
7871200,0.75,OverContact,123498672,,,2105310097109396736,"4.4596345e-06, 0.9996685, 0.00031959623, 7.4490913e-06",SemiDetached,0.9996684789657593
7959612,0.81,Ellipsoidal,63002660,,,2126128868747313408,"0.032121874, 0.4775494, 0.48063168, 0.009697089",OverContact,0.48063167929649353
9345163,0.77,OverContact,240179566,,,2128045145717218304,"0.03170044, 0.92599803, 0.040039554, 0.0022619527",SemiDetached,0.9259980320930481
11494583,0.94,Ellipsoidal,267570596,,,2132201230946203392,"0.0037140688, 0.25471148, 0.39792487, 0.3436496",OverContact,0.39792487025260925
12104285,0.87,Ellipsoidal,399955499,,,2132988137675373312,"0.12857051, 0.075845726, 0.42201814, 0.37356558",OverContact,0.4220181405544281
5685072,0.73,OverContact,120043351,,,2103684297369137664,"0.001644645, 0.99537295, 0.0028016777, 0.00018086722",SemiDetached,0.9953729510307312
9700154,0.8,OverContact,158324789,,,2130523410563338368,"0.10710985, 0.08699745, 0.44112632, 0.36476645",OverContact,0.4411263167858124
9662581,0.79,OverContact,272837753,,,2080314899279852928,"0.004129583, 0.96990585, 0.025376586, 0.00058810733",SemiDetached,0.9699058532714844
9777987,0.76,OverContact,271254272,,,2080099463720600576,"0.00015042115, 0.9878098, 0.011577496, 0.00046228484",SemiDetached,0.9878097772598267
9392331,0.77,OverContact,158112326,,,2106528733950556800,"0.0053436444, 0.8652392, 0.12501171, 0.0044055604",SemiDetached,0.8652392029762268
6106771,0.77,OverContact,120576549,,,2103864514198371072,"0.23235834, 0.3708555, 0.33299413, 0.06379195",SemiDetached,0.37085551023483276
10557008,0.8,OverContact,268705117,,,2085708209974595840,"0.066535, 0.45752507, 0.4522872, 0.023652682",SemiDetached,0.4575250744819641
5785551,0.74,OverContact,122296104,,,2101413565343321216,"0.00035712507, 0.997951, 0.0016535628, 3.8294842e-05",SemiDetached,0.9979509711265564
9388303,0.78,OverContact,164555574,,,2107405113436553472,"0.00024377683, 0.99569714, 0.004002865, 5.6187768e-05",SemiDetached,0.9956971406936646
2437038,0.87,Ellipsoidal,122364926,,,2051287070750548736,"0.05101222, 0.01010193, 0.1489398, 0.7899461",Ellipsoidal,0.7899460792541504
7269843,0.81,Ellipsoidal,158555513,,,2102589939704341760,"0.01990034, 0.018024325, 0.6979915, 0.26408383",OverContact,0.6979914903640747
10802917,0.74,OverContact,27010863,,,2128936128090700800,"6.8608664e-05, 0.9994295, 0.0004927459, 9.06964e-06",SemiDetached,0.9994295239448547
3832382,0.75,OverContact,399794371,,,2100244647040760320,"0.011215964, 0.8916978, 0.094066665, 0.0030195247",SemiDetached,0.8916978240013123
5956588,0.83,Ellipsoidal,122597942,,,2101782485853154176,"0.020084117, 0.7920411, 0.18349333, 0.004381481",SemiDetached,0.7920411229133606
3743834,0.76,OverContact,122449912,,,2052905483147568000,"0.0014311692, 0.68808186, 0.30842805, 0.0020589065",SemiDetached,0.6880818605422974
9935311,0.82,Ellipsoidal,164457173,,,2107518156976176512,"0.028452678, 0.0055398108, 0.062012978, 0.9039945",Ellipsoidal,0.9039945006370544
11704155,0.94,Ellipsoidal,399867354,,,2132836228973574656,"0.025687037, 0.0060171727, 0.023680843, 0.944615",Ellipsoidal,0.9446150064468384
4563150,0.8,OverContact,137414238,,,2053180631631496320,"0.034917254, 0.18122509, 0.7272496, 0.056608",OverContact,0.7272496223449707
9772642,0.8,OverContact,63293754,,,2128288756261701504,"0.2027413, 0.18920985, 0.48300892, 0.12503992",OverContact,0.4830089211463928
8624778,0.81,Ellipsoidal,63065713,,,2126574304096553344,"0.00047303527, 0.918945, 0.07973196, 0.0008499447",SemiDetached,0.9189450144767761
3853259,0.98,Ellipsoidal,137551014,,,2052721899067179136,"0.0058352095, 0.38281813, 0.5241029, 0.08724367",OverContact,0.5241029262542725
11566174,0.77,OverContact,27396253,,,2134935334110510592,"0.10352098, 0.75627196, 0.12279147, 0.017415583",SemiDetached,0.7562719583511353
11246163,0.79,OverContact,26748947,,,2129780827898271488,"0.008342977, 0.9374154, 0.052008364, 0.0022333066",SemiDetached,0.9374154210090637
4476900,0.78,OverContact,138804246,,,2076260725037150976,"0.000899169, 0.9126503, 0.0852202, 0.0012302209",SemiDetached,0.9126502871513367
9508052,0.91,Ellipsoidal,123412930,,,2119104432551427456,"0.0085045155, 0.5854876, 0.37174913, 0.0342588",SemiDetached,0.5854876041412354
5786545,0.75,OverContact,122442355,,,2101773930278052864,"0.010298833, 0.9707803, 0.018205255, 0.00071564224",SemiDetached,0.9707803130149841
9272276,0.81,Ellipsoidal,158559512,,,2130257328749754752,"0.049769904, 0.18460456, 0.665335, 0.100290544",OverContact,0.6653349995613098
9179806,0.84,Ellipsoidal,239234901,,,2085183944784908928,"0.08943308, 0.0040116785, 0.34419104, 0.5623641",Ellipsoidal,0.5623641014099121
7272739,0.77,OverContact,158921487,,,2102718445127237504,"0.0017031587, 0.8868522, 0.1108117, 0.0006329092",SemiDetached,0.8868522047996521
7269797,0.86,Ellipsoidal,158555444,,,2102589767905626240,"0.020398103, 0.0020778133, 0.025500262, 0.95202386",Ellipsoidal,0.9520238637924194
7199353,0.78,OverContact,159767169,,,2125795166969906944,"0.012741015, 0.6073314, 0.37353817, 0.006389439",SemiDetached,0.607331395149231
10350225,0.8,OverContact,271878314,,,2080609293514100992,"0.16621242, 0.044290904, 0.5460083, 0.2434884",OverContact,0.546008288860321
6929869,0.96,Ellipsoidal,164828441,,,2104245391897614976,"0.006953202, 0.0034496414, 0.056016028, 0.9335811",Ellipsoidal,0.9335811138153076
9533706,0.78,OverContact,271254961,,,2080087850128630144,"0.036322698, 0.59558654, 0.337623, 0.030467806",SemiDetached,0.5955865383148193
11405559,0.75,OverContact,26814392,,,2129040341178106752,"6.739553e-05, 0.9965926, 0.0033094264, 3.0646937e-05",SemiDetached,0.9965925812721252
8677949,0.93,Ellipsoidal,158319759,,,2106224611607151488,"0.002555427, 0.31076887, 0.5041044, 0.18257129",OverContact,0.5041043758392334
11036301,0.95,Ellipsoidal,27238985,,,2128774328084530688,"0.009158114, 0.0016586934, 0.04965845, 0.93952477",Ellipsoidal,0.93952476978302
7367833,0.77,OverContact,275569889,,,2077831480470491904,"0.3025497, 0.44113046, 0.20318513, 0.053134706",SemiDetached,0.44113045930862427
11444780,0.73,OverContact,377781557,,,2132103271332605184,"3.413459e-06, 0.99997556, 1.8728568e-05, 2.2193865e-06",SemiDetached,0.9999755620956421
11341950,0.74,OverContact,399913881,,,2131302723789458688,"1.3703872e-05, 0.9994861, 0.0004889658, 1.1226205e-05",SemiDetached,0.9994860887527466
5699617,0.77,OverContact,122137668,,,2101406830834451456,"0.0057126377, 0.86366427, 0.12940642, 0.0012166318",SemiDetached,0.8636642694473267
6467389,0.79,OverContact,274033125,,,2075407332218332928,"0.002144625, 0.3796014, 0.6117695, 0.0064844945",OverContact,0.6117694973945618
9882280,0.77,OverContact,158560902,,,2130455550080589312,"0.01672682, 0.9146366, 0.06543474, 0.003201919",SemiDetached,0.9146366119384766
4758092,0.9,Ellipsoidal,138803238,,,2076453861122485248,"0.010058348, 0.0014623696, 0.10531437, 0.88316494",Ellipsoidal,0.8831649422645569
9664382,0.75,OverContact,,,,2080257827754076032,"0.004917242, 0.97492224, 0.019883271, 0.00027735098",SemiDetached,0.974922239780426
10322582,0.88,Ellipsoidal,164525361,,,2107604949674808704,"0.13467732, 0.41636503, 0.32566512, 0.12329245",SemiDetached,0.41636502742767334
6128248,0.76,OverContact,138099494,,,2077581719531619328,"0.03122952, 0.89594924, 0.07088192, 0.0019393896",SemiDetached,0.8959492444992065
9995981,0.87,Ellipsoidal,164656940,,,2107556468083702912,"0.07915806, 0.0071149366, 0.05349504, 0.860232",Ellipsoidal,0.8602319955825806
10847118,0.82,Ellipsoidal,48450203,,,2131567706091373952,"0.031351868, 0.11750521, 0.8168475, 0.034295492",OverContact,0.8168475031852722
3730067,0.62,SemiDetached,120683426,,,2100047490862964864,"0.0013635318, 0.99763024, 0.0006945773, 0.00031168823",SemiDetached,0.99763023853302
2302092,0.88,Ellipsoidal,137096796,,,2052532989223545984,"0.020352375, 0.0031660225, 0.077370115, 0.8991115",Ellipsoidal,0.8991115093231201
5543482,0.8,OverContact,378089783,,,2076573707891951744,"0.0014874792, 0.12139316, 0.86442167, 0.012697623",OverContact,0.8644216656684875
7884426,0.95,Ellipsoidal,159099418,,,2102868734622023808,"0.033982594, 0.10109932, 0.24836417, 0.6165539",Ellipsoidal,0.6165539026260376
7740566,0.81,Ellipsoidal,158318143,,,2105632425816544768,"0.050655406, 0.0056273956, 0.08033657, 0.8633806",Ellipsoidal,0.8633806109428406
6471048,0.77,OverContact,171968838,,,2075370945254291200,"0.0015378677, 0.99189574, 0.0064432933, 0.0001231222",SemiDetached,0.9918957352638245
7130044,0.76,OverContact,271538155,,,2077905147750076800,"0.02944968, 0.7769802, 0.18300492, 0.010565146",SemiDetached,0.7769802212715149
7941050,0.86,Ellipsoidal,164464072,,,2105138981315182464,"0.026922528, 0.0015274615, 0.021545626, 0.9500044",Ellipsoidal,0.9500043988227844
5961327,0.76,OverContact,137410442,,,2053604875623668480,"0.0027827036, 0.9680341, 0.028692001, 0.00049113773",SemiDetached,0.9680340886116028
8309175,0.93,Ellipsoidal,271430144,,,2079631243566096768,"0.02195651, 0.07300661, 0.3672775, 0.5377594",Ellipsoidal,0.5377594232559204
4036687,0.89,Ellipsoidal,120416883,,,2100206198494956928,"0.0912416, 0.0316839, 0.23560147, 0.641473",Ellipsoidal,0.6414729952812195
5881838,0.73,OverContact,,,,2077384013599356416,"4.807203e-05, 0.99844956, 0.0014822395, 2.0081205e-05",SemiDetached,0.9984495639801025
2996347,0.9,Ellipsoidal,137892105,,,2051880669593057152,"0.002148388, 0.9943117, 0.0033194618, 0.00022041345",SemiDetached,0.9943116903305054
7597095,0.76,OverContact,158634748,,,2102931647301801088,"0.014262217, 0.962121, 0.022650843, 0.0009659405",SemiDetached,0.9621210098266602
9274472,0.9,Ellipsoidal,158934973,,,2127329329285333632,"0.021314444, 0.009965624, 0.8032355, 0.16548447",OverContact,0.8032354712486267
4074708,0.74,OverContact,184166788,,,2073194049673938176,"2.8803168e-05, 0.99821967, 0.0017194992, 3.197565e-05",SemiDetached,0.9982196688652039
8394040,0.79,OverContact,239290988,,,2076126653336649984,"0.0038597032, 0.69088507, 0.3006923, 0.0045630015",SemiDetached,0.690885066986084
8625469,0.78,OverContact,63075063,,,2126560770658413952,"0.0038684232, 0.60785586, 0.36980885, 0.018466985",SemiDetached,0.6078558564186096
4941060,0.75,OverContact,184420049,,,2076353290170911744,"6.8818445e-05, 0.99755305, 0.0023505413, 2.7610658e-05",SemiDetached,0.9975530505180359
7877062,0.82,Ellipsoidal,158165935,,,2105858439874978304,"0.03693241, 0.5704958, 0.3696266, 0.022945166",SemiDetached,0.5704957842826843
9470175,0.77,OverContact,270788790,,,2128019032315956736,"0.013470261, 0.9308825, 0.054516364, 0.0011308221",SemiDetached,0.9308825135231018
3745184,0.67,SemiDetached,122684982,,,2052943553738257024,"0.020918, 0.75138515, 0.19735165, 0.030345144",SemiDetached,0.7513851523399353
10084115,0.89,Ellipsoidal,271548371,,,2080511436983501824,"0.044893067, 0.0033009357, 0.03040476, 0.9214012",Ellipsoidal,0.9214012026786804
10395202,0.81,Ellipsoidal,158489733,,,2130868038739781888,"0.102207944, 0.0220313, 0.16154076, 0.71422",Ellipsoidal,0.7142199873924255
11498689,0.77,OverContact,399911165,,,2131309973694258304,"0.02645235, 0.009313122, 0.15488997, 0.8093446",Ellipsoidal,0.8093445897102356
11395117,0.74,OverContact,399954055,,,2132754869411814784,"0.0006933939, 0.9941369, 0.005058562, 0.000111096",SemiDetached,0.9941369295120239
11245381,0.75,OverContact,424866830,,,2129695340869742592,"6.664183e-05, 0.9991357, 0.00078602904, 1.1646411e-05",SemiDetached,0.9991356730461121
10723143,0.79,OverContact,298966146,,,2130941053183778176,"0.019379212, 0.7080691, 0.259238, 0.013313612",SemiDetached,0.7080690860748291
5563814,0.91,Ellipsoidal,171582162,,,2073607122453835520,"0.009190211, 0.04242812, 0.9203639, 0.028017735",OverContact,0.9203639030456543
9245929,0.94,Ellipsoidal,184945734,,,2082299208534273536,"0.030452065, 0.0032802082, 0.07260857, 0.8936592",Ellipsoidal,0.8936591744422913
5307780,0.88,Ellipsoidal,171976930,,,2075039339422572160,"0.05322494, 0.06773802, 0.5611076, 0.31792942",OverContact,0.5611075758934021
11305087,0.79,OverContact,27530635,,,2134766391577834496,"0.021960335, 0.0539471, 0.7919551, 0.1321374",OverContact,0.7919551134109497
7035139,0.8,OverContact,63212877,,,2125756855861211136,"0.0005632764, 0.98673904, 0.012580525, 0.0001172119",SemiDetached,0.9867390394210815
4168013,0.85,Ellipsoidal,138571760,,,2052404346367459712,"0.08525964, 0.021508697, 0.14421836, 0.74901336",Ellipsoidal,0.749013364315033
11084647,0.83,Ellipsoidal,26584454,,,2129664588903319808,"0.065939985, 0.023712594, 0.07836123, 0.8319862",Ellipsoidal,0.8319861888885498
11442348,0.76,OverContact,48421530,,,2132196901619109888,"0.017590018, 0.9283526, 0.052036118, 0.0020212058",SemiDetached,0.9283525943756104
8029708,0.75,OverContact,63125514,,,2125966587704674944,"0.00103357, 0.9937383, 0.005079879, 0.00014819483",SemiDetached,0.9937382936477661
7821450,0.81,Ellipsoidal,159765548,,,2126044446871093120,"0.006229345, 0.47120416, 0.5091969, 0.013369586",OverContact,0.5091968774795532
5283839,0.93,Ellipsoidal,138641826,,,2076541478456838272,"0.042946372, 0.007625662, 0.094726704, 0.85470134",Ellipsoidal,0.8547013401985168
6431545,0.91,Ellipsoidal,121331633,,,2102392852244589952,"0.077956505, 0.61204976, 0.2779643, 0.032029454",SemiDetached,0.6120497584342957
7533807,0.95,Ellipsoidal,270611897,,,2078204902105695232,"0.04305158, 0.8243452, 0.13121389, 0.0013892893",SemiDetached,0.8243451714515686
9994475,0.77,OverContact,164455531,,,2107523036059226880,"0.02036306, 0.6595685, 0.3121288, 0.007939629",SemiDetached,0.6595684885978699
9347868,0.83,Ellipsoidal,270788461,,,2128012503965607808,"0.06611492, 0.0034018059, 0.13367061, 0.79681265",Ellipsoidal,0.7968126535415649
9005043,0.72,OverContact,164779923,,,2107141093208152576,"0.00010530674, 0.9952459, 0.004603188, 4.554369e-05",SemiDetached,0.9952458739280701
9145707,0.75,OverContact,158559240,,,2130230081477735552,"0.00034524745, 0.996496, 0.0030741694, 8.4574574e-05",SemiDetached,0.9964960217475891
11303416,0.94,Ellipsoidal,27239836,,,2134804737045640064,"0.054052647, 0.015584872, 0.064119145, 0.86624336",Ellipsoidal,0.8662433624267578
5983351,0.74,OverContact,169818476,,,2073869111144324608,"9.851311e-05, 0.9982134, 0.0016673763, 2.0660975e-05",SemiDetached,0.9982134103775024
9713664,0.89,Ellipsoidal,275575929,,,2128089229261993984,"0.13526526, 0.08357824, 0.41070563, 0.3704509",OverContact,0.4107056260108948
7118656,0.93,Ellipsoidal,63120579,,,2125781418774877056,"0.005933222, 0.25111368, 0.6504005, 0.09255264",OverContact,0.6504005193710327
2854432,0.93,Ellipsoidal,351057624,,,2052658952025527296,"0.11695378, 0.05588384, 0.52291495, 0.30424747",OverContact,0.5229149460792542
9991887,0.88,Ellipsoidal,123310697,,,2119204694268327552,"0.03178454, 0.0012255266, 0.17622271, 0.7907673",Ellipsoidal,0.7907673120498657
6061139,0.76,OverContact,168812049,,,2076837247086134784,"0.018354027, 0.7244355, 0.25349197, 0.0037184737",SemiDetached,0.7244355082511902
4474193,0.89,Ellipsoidal,138644404,,,2052437705368562304,"0.0811827, 0.020121617, 0.120042756, 0.77865285",Ellipsoidal,0.7786528468132019
5984000,0.82,Ellipsoidal,169823386,,,2073867637982246784,"0.016865619, 0.5506266, 0.4155304, 0.016977338",SemiDetached,0.5506265759468079
7627059,0.81,Ellipsoidal,272943583,,,2078733732841171072,"0.1896805, 0.32408574, 0.38350883, 0.102725014",OverContact,0.3835088312625885
7199183,0.97,Ellipsoidal,159767070,,,2125983183456797312,"0.017340947, 0.00030280303, 0.9823529, 3.381667e-06",OverContact,0.9823529124259949
5195137,0.92,Ellipsoidal,138574970,,,2076536083977987328,"0.023198918, 0.017084103, 0.9594712, 0.00024584326",OverContact,0.9594712257385254
7685689,0.78,OverContact,,,,2125883608936035200,"0.05960345, 0.85664237, 0.074064665, 0.009689529",SemiDetached,0.8566423654556274
5791886,0.77,OverContact,137410940,,,2053597728797918720,"0.011903238, 0.9633889, 0.023945926, 0.0007619343",SemiDetached,0.9633889198303223
8555573,0.96,Ellipsoidal,159304394,,,2126989408393735168,"0.02242289, 0.932672, 0.042718086, 0.0021869186",SemiDetached,0.9326720237731934
2694741,0.93,Ellipsoidal,120891206,,,2099191035723798784,"0.043856166, 0.0056509976, 0.0760676, 0.87442523",Ellipsoidal,0.8744252324104309
3956545,0.75,OverContact,137483077,,,2052773438675939200,"0.017245855, 0.8982991, 0.082198486, 0.002256628",SemiDetached,0.8982990980148315
8245326,0.94,Ellipsoidal,271969169,,,2079595406358550912,"0.01181245, 0.0017736106, 0.016259719, 0.97015417",Ellipsoidal,0.9701541662216187
2141697,0.98,Ellipsoidal,120825332,,,2099075316427354624,"0.0007720637, 0.009249156, 0.44226727, 0.5477115",Ellipsoidal,0.5477114915847778
7696778,0.79,OverContact,272269218,,,2078785753485813248,"0.10818354, 0.27746803, 0.5762439, 0.038104523",OverContact,0.5762438774108887
8097902,0.75,OverContact,,,,2126158246323785344,"4.306865e-05, 0.99620783, 0.0037081286, 4.0990002e-05",SemiDetached,0.9962078332901001
7204041,0.92,Ellipsoidal,240184492,,,2077803649082073984,"0.06000216, 0.01068422, 0.2884468, 0.6408668",Ellipsoidal,0.6408668160438538
12458133,0.77,OverContact,267745671,,,2133224120358676096,"0.021059284, 0.2532365, 0.6992061, 0.026498089",OverContact,0.6992061138153076
9786165,0.73,OverContact,273372537,,,2080302388031997568,"7.33738e-06, 0.9999143, 7.51691e-05, 3.136993e-06",SemiDetached,0.999914288520813
5620981,0.79,OverContact,137411300,,,2053578040667741952,"0.14532231, 0.035085533, 0.24751566, 0.5720765",Ellipsoidal,0.5720764994621277
11502581,0.74,OverContact,299158792,,,2132626497131955200,"1.1915904e-05, 0.9995246, 0.000457442, 6.096371e-06",SemiDetached,0.9995245933532715
4945857,0.75,OverContact,169182654,,,2073699653219304192,"0.00031201297, 0.95702004, 0.042440046, 0.00022791486",SemiDetached,0.9570200443267822
10255110,0.88,Ellipsoidal,123493830,,,2119553926648886400,"0.07163113, 0.04295269, 0.3687188, 0.5166974",Ellipsoidal,0.5166974067687988
9110213,0.73,OverContact,274020566,,,2079417182395751168,"0.0007970017, 0.97387415, 0.025108544, 0.00022037866",SemiDetached,0.9738741517066956
8211618,0.74,OverContact,,,,2117300340130410240,"0.0016777106, 0.99511755, 0.0031008932, 0.00010378834",SemiDetached,0.9951175451278687
10447902,0.76,OverContact,123129547,,,2119434973234495360,"0.107482165, 0.48920766, 0.38955113, 0.01375911",SemiDetached,0.4892076551914215
6615041,0.76,OverContact,271051433,,,2077549352660722560,"0.007262556, 0.97452617, 0.017191397, 0.0010198226",SemiDetached,0.9745261669158936
4244929,0.91,Ellipsoidal,120691726,,,2100269764009806464,"0.07507974, 0.0044154823, 0.02879951, 0.89170533",Ellipsoidal,0.891705334186554
6843507,0.78,OverContact,164730504,,,2104242162082462080,"0.0039950423, 0.19026679, 0.7980022, 0.0077360366",OverContact,0.7980021834373474
9639491,0.73,OverContact,158393612,,,2130339895201394176,"5.812153e-07, 0.99992776, 6.9071204e-05, 2.5706029e-06",SemiDetached,0.9999277591705322
7890379,0.92,Ellipsoidal,159765249,,,2126127734875893248,"0.024213467, 0.00084595673, 0.0038195006, 0.9711211",Ellipsoidal,0.971121072769165
8230815,0.93,Ellipsoidal,159522276,,,2126210885443148160,"0.030425422, 0.18525429, 0.5105816, 0.27373862",OverContact,0.5105816125869751
10020247,0.83,Ellipsoidal,271548253,,,2080506832778874240,"0.017915273, 0.047683194, 0.8535963, 0.08080527",OverContact,0.8535963296890259
3560212,0.74,OverContact,139104054,,,2052139742024579584,"0.0029963192, 0.9938845, 0.002950476, 0.00016861073",SemiDetached,0.9938845038414001
10848807,0.75,OverContact,,,,2131521457883437568,"0.0031146773, 0.99640405, 0.00044842603, 3.2870073e-05",SemiDetached,0.9964040517807007
7282128,0.94,Ellipsoidal,63007551,,,2125798843462104576,"0.112571366, 0.016143968, 0.05004011, 0.8212446",Ellipsoidal,0.8212445974349976
3549994,0.74,OverContact,137766154,,,2052312949464427648,"0.00020694404, 0.99815124, 0.0015975261, 4.4227432e-05",SemiDetached,0.9981512427330017
10128961,0.86,Ellipsoidal,158272561,,,2130656726347889408,"0.003081338, 0.002345802, 0.4276534, 0.56691945",Ellipsoidal,0.5669194459915161
8842170,0.9,Ellipsoidal,,,,2079174224687507072,"0.0035676945, 0.8905349, 0.104234934, 0.0016624572",SemiDetached,0.8905348777770996
10680475,0.78,OverContact,273047423,,,2086430245516799616,"0.16492617, 0.60897887, 0.18940738, 0.03668753",SemiDetached,0.6089788675308228
9389122,0.75,OverContact,164669850,,,2107221117038430720,"0.00012372792, 0.9986234, 0.0012405296, 1.2374604e-05",SemiDetached,0.9986233711242676
7529123,0.84,Ellipsoidal,63211851,,,2125911440323697152,"0.108530544, 0.01575761, 0.16594411, 0.7097677",Ellipsoidal,0.7097676992416382
5174346,0.84,Ellipsoidal,121333951,,,2100567113187218048,"0.026686713, 0.028770467, 0.23839746, 0.70614535",Ellipsoidal,0.7061453461647034
8431389,0.84,Ellipsoidal,63075474,,,2126550634535471872,"0.029585805, 0.08115174, 0.79855895, 0.09070346",OverContact,0.7985589504241943
8432859,0.91,Ellipsoidal,63365612,,,2126373849381379584,"0.107946314, 0.07504076, 0.2611109, 0.555902",Ellipsoidal,0.5559020042419434
11404758,0.88,Ellipsoidal,26748629,,,2129787665486224512,"0.059391577, 0.005371353, 0.086250596, 0.8489865",Ellipsoidal,0.8489865064620972
5468295,0.92,Ellipsoidal,168814524,,,2076737947439930240,"0.11878788, 0.03145288, 0.17442584, 0.6753334",Ellipsoidal,0.6753333806991577
8682849,0.88,Ellipsoidal,159047982,,,2127150727365528960,"0.107133076, 0.05456806, 0.57624054, 0.2620583",OverContact,0.5762405395507812
7506446,0.69,SemiDetached,164644088,,,2105035597159891840,"0.00030986156, 0.9990324, 0.00047166625, 0.00018614324",SemiDetached,0.9990323781967163
12418274,0.95,Ellipsoidal,27778382,,,2135499731472792704,"0.025256125, 0.001343564, 0.067318015, 0.90608233",Ellipsoidal,0.9060823321342468
3935319,0.76,OverContact,,,,2100202453283446912,"0.012226804, 0.96432143, 0.022603963, 0.00084784155",SemiDetached,0.9643214344978333
10727655,0.74,OverContact,407002553,,,2129413178697671424,"0.0002679555, 0.99801815, 0.0016671987, 4.6722485e-05",SemiDetached,0.9980181455612183
8241252,0.78,OverContact,271160736,,,2078326776097702912,"0.021692818, 0.63695365, 0.3027165, 0.038636986",SemiDetached,0.6369536519050598
5878836,0.8,OverContact,137755834,,,2053561376195078784,"0.012184574, 0.6810359, 0.28762132, 0.019158168",SemiDetached,0.6810358762741089
8143757,0.78,OverContact,123317864,,,2117295254889076096,"0.025341598, 0.5314586, 0.42916656, 0.014033226",SemiDetached,0.5314586162567139
9283826,0.84,Ellipsoidal,240179691,,,2128043359010825856,"0.024083266, 0.14396843, 0.7277602, 0.10418817",OverContact,0.7277601957321167
9532591,0.95,Ellipsoidal,270957109,,,2128105069100162560,"0.044676617, 0.002357984, 0.042011786, 0.9109537",Ellipsoidal,0.91095370054245
6633929,0.9,Ellipsoidal,268166671,,,2075438805739402752,"0.08773127, 0.029855432, 0.27494958, 0.6074637",Ellipsoidal,0.6074637174606323
