KIC,KeplerMorph,KeplerClass,TIC,TessMorph,TessClass,DR3,Prediction,DR3ClassPrediction,maxValue
9472174,0.78,OverContact,271164763,,,2080063931448749824,"0.11184515, 0.022862483, 0.0725818, 0.79271054",Ellipsoidal,0.792710542678833
6387887,0.58,SemiDetached,170251720,,,2073906430127699712,"0.68332267, 0.31537205, 0.0011798748, 0.00012533956",Detached,0.6833226680755615
12055255,0.9,Ellipsoidal,298786644,,,2132960065768816000,"0.026202355, 0.0102551, 0.013256552, 0.95028603",Ellipsoidal,0.9502860307693481
10965091,0.76,OverContact,405686839,,,2131900651955196416,"0.35317883, 0.20492731, 0.14149456, 0.30039936",Detached,0.35317882895469666
11413213,0.87,Ellipsoidal,351191274,,,2086842734172524416,"0.5431042, 0.44164753, 0.013187008, 0.0020612837",Detached,0.5431041717529297
6050116,0.79,OverContact,138636448,,,2077400678073089280,"0.21291426, 0.09344812, 0.1252254, 0.5684123",Ellipsoidal,0.5684123039245605
7546791,0.94,Ellipsoidal,272707302,,,2078718167879352832,"0.21711732, 0.065465935, 0.15651444, 0.56090224",Ellipsoidal,0.5609022378921509
7871200,0.75,OverContact,123498672,,,2105310097109396736,"0.7236422, 0.27635646, 1.3983395e-06, 2.4423836e-11",Detached,0.7236421704292297
7959612,0.81,Ellipsoidal,63002660,,,2126128868747313408,"0.19190767, 0.055064473, 0.06982934, 0.6831985",Ellipsoidal,0.6831985116004944
9345163,0.77,OverContact,240179566,,,2128045145717218304,"0.7519718, 0.061847813, 0.008319934, 0.17786041",Detached,0.7519717812538147
11494583,0.94,Ellipsoidal,267570596,,,2132201230946203392,"0.10682686, 0.009673246, 0.021450436, 0.8620495",Ellipsoidal,0.8620495200157166
12104285,0.87,Ellipsoidal,399955499,,,2132988137675373312,"0.73918366, 0.05322014, 0.015872164, 0.19172399",Detached,0.7391836643218994
5685072,0.73,OverContact,120043351,,,2103684297369137664,"0.18853085, 0.077223, 0.105454765, 0.6287914",Ellipsoidal,0.6287913918495178
9700154,0.8,OverContact,158324789,,,2130523410563338368,"0.4875993, 0.42646348, 0.0628515, 0.023085754",Detached,0.48759931325912476
9662581,0.79,OverContact,272837753,,,2080314899279852928,"0.16405177, 0.03643859, 0.049117047, 0.7503926",Ellipsoidal,0.7503926157951355
9777987,0.76,OverContact,271254272,,,2080099463720600576,"0.12624218, 0.872197, 0.0015608709, 6.9753052e-09",SemiDetached,0.8721969723701477
9392331,0.77,OverContact,158112326,,,2106528733950556800,"0.28766516, 0.71033275, 0.002001875, 1.442959e-07",SemiDetached,0.7103327512741089
6106771,0.77,OverContact,120576549,,,2103864514198371072,"0.8468543, 0.052114725, 7.874264e-05, 0.10095217",Detached,0.8468543291091919
10557008,0.8,OverContact,268705117,,,2085708209974595840,"0.24889518, 0.20592847, 0.26986128, 0.27531508",Ellipsoidal,0.2753150761127472
5785551,0.74,OverContact,122296104,,,2101413565343321216,"0.20991693, 0.16124937, 0.21017838, 0.4186554",Ellipsoidal,0.4186553955078125
9388303,0.78,OverContact,164555574,,,2107405113436553472,"0.05884887, 0.005158917, 0.008848027, 0.9271442",Ellipsoidal,0.9271442294120789
2437038,0.87,Ellipsoidal,122364926,,,2051287070750548736,"0.40908992, 0.3399639, 0.1515281, 0.09941806",Detached,0.40908992290496826
7269843,0.81,Ellipsoidal,158555513,,,2102589939704341760,"0.40414953, 0.25541893, 0.13270575, 0.20772578",Detached,0.40414953231811523
10802917,0.74,OverContact,27010863,,,2128936128090700800,"0.625655, 0.2347368, 0.05393308, 0.08567514",Detached,0.6256549954414368
3832382,0.75,OverContact,399794371,,,2100244647040760320,"0.38285214, 0.3231526, 0.15548036, 0.1385149",Detached,0.38285213708877563
