KIC,KeplerMorph,KeplerClass,TIC,TessMorph,TessClass,DR3,Prediction,DR3ClassPrediction,maxValue
9472174,0.78,OverContact,271164763,,,2080063931448749824,"0.49100405, 0.030374901, 0.0011358471, 0.4774852",Detached,0.4910040497779846
6387887,0.58,SemiDetached,170251720,,,2073906430127699712,"0.5194383, 0.47909135, 0.0008224345, 0.00064789096",Detached,0.5194383263587952
12055255,0.9,Ellipsoidal,298786644,,,2132960065768816000,"0.0035917466, 0.000820329, 0.002706176, 0.9928818",Ellipsoidal,0.9928817749023438
10965091,0.76,OverContact,405686839,,,2131900651955196416,"0.09169165, 0.578726, 0.25614166, 0.073440805",SemiDetached,0.5787259936332703
11413213,0.87,Ellipsoidal,351191274,,,2086842734172524416,"0.07020269, 0.37992924, 0.19381563, 0.3560525",SemiDetached,0.37992924451828
6050116,0.79,OverContact,138636448,,,2077400678073089280,"0.10924354, 0.6553186, 0.17999646, 0.055441305",SemiDetached,0.6553186178207397
7546791,0.94,Ellipsoidal,272707302,,,2078718167879352832,"0.5415299, 0.045508742, 0.0018375553, 0.4111238",Detached,0.5415298938751221
7871200,0.75,OverContact,123498672,,,2105310097109396736,"0.09582147, 0.7969979, 0.08764479, 0.019535758",SemiDetached,0.7969979047775269
7959612,0.81,Ellipsoidal,63002660,,,2126128868747313408,"0.022078177, 0.054542083, 0.42566782, 0.49771193",Ellipsoidal,0.4977119266986847
9345163,0.77,OverContact,240179566,,,2128045145717218304,"0.09357504, 0.5166155, 0.2774577, 0.112351805",SemiDetached,0.5166155099868774
11494583,0.94,Ellipsoidal,267570596,,,2132201230946203392,"0.110902436, 0.043675657, 0.0026957248, 0.84272623",Ellipsoidal,0.8427262306213379
12104285,0.87,Ellipsoidal,399955499,,,2132988137675373312,"0.017015403, 0.037045363, 0.086541794, 0.8593975",Ellipsoidal,0.8593974709510803
5685072,0.73,OverContact,120043351,,,2103684297369137664,"0.12085089, 0.7014146, 0.13332331, 0.044411145",SemiDetached,0.7014145851135254
9700154,0.8,OverContact,158324789,,,2130523410563338368,"0.04946359, 0.50690675, 0.27127394, 0.17235574",SemiDetached,0.5069067478179932
9662581,0.79,OverContact,272837753,,,2080314899279852928,"0.09065761, 0.6146169, 0.2283512, 0.06637432",SemiDetached,0.614616870880127
9777987,0.76,OverContact,271254272,,,2080099463720600576,"0.04881338, 0.33709678, 0.38696614, 0.22712365",OverContact,0.3869661390781402
9392331,0.77,OverContact,158112326,,,2106528733950556800,"0.06569745, 0.28395644, 0.36550292, 0.2848432",OverContact,0.3655029237270355
6106771,0.77,OverContact,120576549,,,2103864514198371072,"0.18439731, 0.5174916, 0.20662989, 0.09148128",SemiDetached,0.5174915790557861
10557008,0.8,OverContact,268705117,,,2085708209974595840,"0.14734258, 0.43739328, 0.27303833, 0.1422258",SemiDetached,0.4373932778835296
5785551,0.74,OverContact,122296104,,,2101413565343321216,"0.14917542, 0.77536416, 0.0612612, 0.014199306",SemiDetached,0.7753641605377197
9388303,0.78,OverContact,164555574,,,2107405113436553472,"0.06592668, 0.7480549, 0.15653178, 0.029486584",SemiDetached,0.7480549216270447
2437038,0.87,Ellipsoidal,122364926,,,2051287070750548736,"0.058307942, 0.24246602, 0.12673707, 0.5724889",Ellipsoidal,0.5724889039993286
7269843,0.81,Ellipsoidal,158555513,,,2102589939704341760,"0.18274496, 0.3996805, 0.25042537, 0.16714913",SemiDetached,0.399680495262146
10802917,0.74,OverContact,27010863,,,2128936128090700800,"0.117937475, 0.7843121, 0.08001698, 0.017733447",SemiDetached,0.7843121290206909
3832382,0.75,OverContact,399794371,,,2100244647040760320,"0.10051647, 0.5810297, 0.25643334, 0.0620204",SemiDetached,0.5810297131538391
5956588,0.83,Ellipsoidal,122597942,,,2101782485853154176,"0.074030064, 0.59688854, 0.25539538, 0.07368604",SemiDetached,0.596888542175293
3743834,0.76,OverContact,122449912,,,2052905483147568000,"0.13307409, 0.5489517, 0.2338123, 0.08416181",SemiDetached,0.5489516854286194
9935311,0.82,Ellipsoidal,164457173,,,2107518156976176512,"0.05646272, 0.42296076, 0.24442425, 0.2761522",SemiDetached,0.4229607582092285
11704155,0.94,Ellipsoidal,399867354,,,2132836228973574656,"0.022139343, 0.07877862, 0.039510764, 0.85957134",Ellipsoidal,0.8595713376998901
4563150,0.8,OverContact,137414238,,,2053180631631496320,"0.10672944, 0.33052498, 0.2983445, 0.26440105",SemiDetached,0.3305249810218811
9772642,0.8,OverContact,63293754,,,2128288756261701504,"0.046175122, 0.21697414, 0.42194784, 0.31490287",OverContact,0.4219478368759155
8624778,0.81,Ellipsoidal,63065713,,,2126574304096553344,"0.11463545, 0.5656958, 0.25559026, 0.06407851",SemiDetached,0.5656958222389221
3853259,0.98,Ellipsoidal,137551014,,,2052721899067179136,"0.11479082, 0.020647926, 0.0012618124, 0.8632994",Ellipsoidal,0.8632994294166565
11566174,0.77,OverContact,27396253,,,2134935334110510592,"0.10431186, 0.4769455, 0.28894112, 0.12980153",SemiDetached,0.4769454896450043
11246163,0.79,OverContact,26748947,,,2129780827898271488,"0.018821163, 0.3767827, 0.4907624, 0.11363374",OverContact,0.4907624125480652
4476900,0.78,OverContact,138804246,,,2076260725037150976,"0.06635195, 0.31974822, 0.38280633, 0.23109345",OverContact,0.3828063309192657
9508052,0.91,Ellipsoidal,123412930,,,2119104432551427456,"0.18432088, 0.41027823, 0.028879145, 0.37652168",SemiDetached,0.4102782309055328
5786545,0.75,OverContact,122442355,,,2101773930278052864,"0.21567461, 0.6073884, 0.13014767, 0.046789404",SemiDetached,0.6073883771896362
9272276,0.81,Ellipsoidal,158559512,,,2130257328749754752,"0.04108821, 0.4192528, 0.29271266, 0.2469463",SemiDetached,0.4192528128623962
9179806,0.84,Ellipsoidal,239234901,,,2085183944784908928,"0.45229968, 0.06809391, 0.033725142, 0.44588122",Detached,0.4522996842861175
7272739,0.77,OverContact,158921487,,,2102718445127237504,"0.012989823, 0.41508755, 0.49803773, 0.07388486",OverContact,0.498037725687027
7269797,0.86,Ellipsoidal,158555444,,,2102589767905626240,"0.01612519, 0.015503983, 0.010758639, 0.95761216",Ellipsoidal,0.957612156867981
7199353,0.78,OverContact,159767169,,,2125795166969906944,"0.15771501, 0.43637466, 0.2799136, 0.12599672",SemiDetached,0.4363746643066406
10350225,0.8,OverContact,271878314,,,2080609293514100992,"0.1419574, 0.34421656, 0.3053495, 0.20847648",SemiDetached,0.3442165553569793
6929869,0.96,Ellipsoidal,164828441,,,2104245391897614976,"0.98604256, 0.0053475727, 5.0213068e-05, 0.008559679",Detached,0.9860425591468812
9533706,0.78,OverContact,271254961,,,2080087850128630144,"0.059217747, 0.4498023, 0.28911105, 0.2018689",SemiDetached,0.4498023092746734
11405559,0.75,OverContact,26814392,,,2129040341178106752,"0.112443544, 0.68422407, 0.16385151, 0.03948086",SemiDetached,0.6842240691184998
8677949,0.93,Ellipsoidal,158319759,,,2106224611607151488,"0.29217854, 0.01129203, 0.00028468028, 0.69624466",Ellipsoidal,0.6962446570396423
11036301,0.95,Ellipsoidal,27238985,,,2128774328084530688,"0.12146731, 0.030308414, 0.01071809, 0.83750623",Ellipsoidal,0.8375062346458435
